pair,set_a_size,set_b_size,intersection,union,jaccard,unique_to_a,unique_to_b
kaggle_arshkon vs kaggle_asaniczka,2161,7557,449,9269,0.0484,1712,7108
kaggle_arshkon vs scraped,2161,9894,420,11635,0.0361,1741,9474
kaggle_asaniczka vs scraped,7557,9894,695,16756,0.0415,6862,9199
