source_1,source_2,companies_1,companies_2,intersection,union,jaccard,overlap_pct_of_smaller
kaggle_arshkon,kaggle_asaniczka,2298,4946,741,6503,0.1139,32.2
kaggle_arshkon,scraped,2298,5100,813,6585,0.1235,35.4
kaggle_asaniczka,scraped,4946,5100,1167,8879,0.1314,23.6
