state_normalized,kaggle_arshkon,kaggle_asaniczka,scraped
AK,2,10,0
AL,18,256,0
AR,14,135,0
AZ,92,438,491
CA,620,3405,5128
CO,87,617,669
CT,27,450,78
DC,34,220,305
DE,16,199,172
FL,142,951,541
GA,160,642,868
HI,0,67,0
IA,15,234,0
ID,13,38,0
IL,177,1023,878
IN,33,366,6
KS,20,154,29
KY,14,69,0
LA,6,71,0
MA,127,917,1164
MD,77,1021,744
ME,11,70,0
MI,85,618,425
MN,58,283,438
MO,29,312,22
MS,6,45,0
MT,3,53,0
NC,145,598,1157
ND,3,7,0
NE,11,116,0
NH,17,191,128
NJ,150,747,831
NM,11,94,0
NV,19,152,0
NY,258,1123,1753
OH,112,775,342
OK,11,106,0
OR,13,177,188
PA,133,783,673
RI,10,124,58
SC,11,144,21
SD,0,31,0
TN,24,259,259
TX,475,1551,2689
UT,17,336,0
VA,292,1387,1167
VT,0,16,0
WA,193,745,1742
WI,45,418,15
WV,6,19,1
WY,0,3,0
