state_normalized,kaggle_arshkon,kaggle_asaniczka,scraped
CA,16.14,15.09,22.31
TX,12.36,6.87,11.7
NY,6.72,4.98,7.63
VA,7.6,6.15,5.08
WA,5.02,3.3,7.58
MA,3.31,4.06,5.06
IL,4.61,4.53,3.82
NC,3.77,2.65,5.03
MD,2.0,4.53,3.24
NJ,3.9,3.31,3.62
GA,4.16,2.85,3.78
FL,3.7,4.21,2.35
PA,3.46,3.47,2.93
CO,2.26,2.73,2.91
OH,2.92,3.43,1.49
