pair,chi2,p_value,dof
kaggle_arshkon vs kaggle_asaniczka,4023.56,0.00e+00,3
kaggle_arshkon vs scraped,202.28,1.36e-43,3
kaggle_asaniczka vs scraped,3511.59,0.00e+00,3
