company_industry,arshkon,scraped,arshkon_pct,scraped_pct
IT Services and IT Consulting,1213,2684,24.35,11.14
Software Development,789,6200,15.84,25.74
Financial Services,473,2071,9.5,8.6
Staffing and Recruiting,274,595,5.5,2.47
Information Services,156,84,3.13,0.35
Information Technology & Services,126,129,2.53,0.54
"Technology, Information and Internet",123,1380,2.47,5.73
Defense and Space Manufacturing,121,785,2.43,3.26
Banking,92,92,1.85,0.38
"Technology, Information and Media",85,155,1.71,0.64
Hospitals and Health Care,79,307,1.59,1.27
Retail,75,185,1.51,0.77
Motor Vehicle Manufacturing,65,110,1.3,0.46
Insurance,64,275,1.28,1.14
Business Consulting and Services,63,404,1.26,1.68
Computer and Network Security,57,139,1.14,0.58
"Appliances, Electrical, and Electronics Manufacturing",53,140,1.06,0.58
Entertainment Providers,50,241,1.0,1.0
Telecommunications,47,153,0.94,0.64
Manufacturing,47,65,0.94,0.27
Semiconductor Manufacturing,42,280,0.84,1.16
Medical Equipment Manufacturing,41,144,0.82,0.6
Pharmaceutical Manufacturing,37,43,0.74,0.18
Accounting,34,18,0.68,0.07
Advertising Services,30,82,0.6,0.34
Airlines and Aviation,26,39,0.52,0.16
Computer Hardware Manufacturing,25,21,0.5,0.09
Aviation and Aerospace Component Manufacturing,25,235,0.5,0.98
Industrial Machinery Manufacturing,23,53,0.46,0.22
Biotechnology Research,23,52,0.46,0.22
Government Administration,22,42,0.44,0.17
Higher Education,22,41,0.44,0.17
Engineering Services,22,65,0.44,0.27
Human Resources Services,21,41,0.42,0.17
Utilities,18,51,0.36,0.21
Consumer Services,17,30,0.34,0.12
Oil and Gas,15,43,0.3,0.18
Investment Banking,14,14,0.28,0.06
Automation Machinery Manufacturing,14,84,0.28,0.35
Broadcast Media Production and Distribution,13,18,0.26,0.07
IT System Custom Software Development,12,43,0.24,0.18
Internet Marketplace Platforms,12,113,0.24,0.47
Computer Games,12,41,0.24,0.17
"Transportation, Logistics, Supply Chain and Storage",11,44,0.22,0.18
Machinery Manufacturing,11,25,0.22,0.1
Real Estate,11,68,0.22,0.28
Computers and Electronics Manufacturing,11,103,0.22,0.43
Hospitality,10,17,0.2,0.07
Wellness and Fitness Services,10,43,0.2,0.18
Health and Human Services,10,3,0.2,0.01
Education Administration Programs,9,14,0.18,0.06
Wireless Services,9,3,0.18,0.01
Environmental Services,9,11,0.18,0.05
Construction,9,36,0.18,0.15
Investment Management,8,21,0.16,0.09
Chemical Manufacturing,8,14,0.16,0.06
Food and Beverage Services,8,16,0.16,0.07
Gambling Facilities and Casinos,8,7,0.16,0.03
Services for Renewable Energy,7,6,0.14,0.02
Law Practice,7,36,0.14,0.15
Research Services,6,155,0.12,0.64
Truck Transportation,6,18,0.12,0.07
Public Safety,6,45,0.12,0.19
Marketing Services,6,57,0.12,0.24
Capital Markets,6,9,0.12,0.04
Government Relations Services,6,18,0.12,0.07
Renewable Energy Semiconductor Manufacturing,6,13,0.12,0.05
Retail Apparel and Fashion,5,13,0.1,0.05
Automotive,5,27,0.1,0.11
Wholesale Building Materials,5,16,0.1,0.07
Design Services,5,17,0.1,0.07
Defense & Space,5,15,0.1,0.06
"Electric Power Transmission, Control, and Distribution",5,5,0.1,0.02
Mining,5,3,0.1,0.01
Non-profit Organizations,5,35,0.1,0.15
