title_normalized,n
front-end engineer (remote),11
"software engineer, cash commerce",9
"software engineer, full stack (java, aws)",7
"manager, full stack software engineering - capital one software (remote eligible)",5
"software development engineer, aws marketplace",5
infrastructure engineer (network operations),5
"software engineer, full stack (remote -eligible)",5
back end engineer - res & guest,4
"software engineer, data streaming",4
software dev. engineer,4
"software engineer, full stack (typescript, node, react, aws)",4
"full-stack engineer, credit inventory",4
hardware/software systems engineer (nasa hhpc- johnson space center),4
cloud engineer - gcp,4
mission software engineer - fury / cca (generalist),4
"software engineer, back end (golang)",4
data engineer- aws (python/ airflow/ rds),4
python- data analytics - software engineer,4
", software engineer, full stack",3
systems engineer fire/suppression,3
"software engineer, backend (java, go)",3
middleware engineer with devops,3
finops infrastructure engineer,3
python perl developer,3
infrastructure engineer (data),3
