term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category,favors
care,1581,18396,0.0007802098127792544,0.010558978403341954,-99.77757182590024,99.77757182590024,,Control 2026 (scraped)
data,18032,3188,0.00889863589123056,0.0018298555745735025,82.69360901561261,82.69360901561261,,SWE 2026 (scraped)
software,13417,1377,0.006621173344756013,0.0007903736280388058,75.32066891419356,75.32066891419356,,SWE 2026 (scraped)
ai,11282,528,0.005567569328131277,0.00030306265475997784,65.49130888498726,65.49130888498726,AI/LLM,SWE 2026 (scraped)
health,3236,9588,0.0015969379849169307,0.00550334229893687,-61.050538914639844,61.050538914639844,,Control 2026 (scraped)
accounting,288,7058,0.0001421255066922361,0.0040511670782119764,-55.791973186933184,55.791973186933184,,Control 2026 (scraped)
healthcare,803,5140,0.0003962735481731444,0.0029502690255043297,-52.97277133701443,52.97277133701443,,Control 2026 (scraped)
systems,11941,3872,0.005892780122958303,0.0022224594682398375,52.927241991540306,52.927241991540306,System Design,SWE 2026 (scraped)
experience,28424,14504,0.014026997924375412,0.008325039289088482,51.6932530240431,51.6932530240431,,SWE 2026 (scraped)
financial,2284,6676,0.0011271342266842613,0.003831905839351538,-50.59156509026035,50.59156509026035,,Control 2026 (scraped)
patient,120,9863,5.921896112176504e-05,0.0056611874316243585,-49.714952059276435,49.714952059276435,,Control 2026 (scraped)
medical,2616,6965,0.0012909733524544779,0.003997786724248571,-49.4107358380471,49.4107358380471,,Control 2026 (scraped)
solutions,8206,2185,0.004049589958043366,0.001254151326989681,48.807851192805444,48.807851192805444,,SWE 2026 (scraped)
travel,722,4085,0.000356300749415953,0.0023447176982850557,-46.71945742048314,46.71945742048314,,Control 2026 (scraped)
patients,173,5209,8.537400228387793e-05,0.002989873804251372,-46.05134904587009,46.05134904587009,,Control 2026 (scraped)
code,5015,515,0.0024748590835470975,0.0002956008848511147,45.96945940517682,45.96945940517682,,SWE 2026 (scraped)
technical,8832,2826,0.004358515538561907,0.0016220739817266994,45.86240635655943,45.86240635655943,,SWE 2026 (scraped)
security,5063,684,0.0024985466679958036,0.0003926038936663349,45.481645220294226,45.481645220294226,,SWE 2026 (scraped)
product,5086,792,0.002509896968877475,0.00045459398213996673,44.78164919791534,44.78164919791534,,SWE 2026 (scraped)
cloud,6402,162,0.003159331575846165,9.298513271044774e-05,44.356654566320515,44.356654566320515,,SWE 2026 (scraped)
staff,603,3630,0.00029757527963686933,0.0020835557514748476,-44.29589142808921,44.29589142808921,,Control 2026 (scraped)
build,5577,1182,0.00275220121813403,0.0006784470794058595,43.797708717471984,43.797708717471984,,SWE 2026 (scraped)
required,3741,7593,0.0018461511129710252,0.0043582476090767265,-43.127194580844865,43.127194580844865,,Control 2026 (scraped)
tools,5710,1354,0.002817835566710653,0.0007771720351231249,42.68067453856533,42.68067453856533,,SWE 2026 (scraped)
platform,4401,297,0.002171855399140733,0.00017047274330248753,42.480529566789755,42.480529566789755,System Design,SWE 2026 (scraped)
applications,4945,942,0.002440314689559401,0.0005406913272422331,42.44587113499368,42.44587113499368,,SWE 2026 (scraped)
development,10245,4028,0.005055818805770691,0.0023120007071461943,42.22005996356985,42.22005996356985,,SWE 2026 (scraped)
clinical,165,3837,8.142607154242693e-05,0.002202370087715975,-41.50299473849735,41.50299473849735,,Control 2026 (scraped)
infrastructure,4594,824,0.002267099228278238,0.00047296141576178355,41.474034028528756,41.474034028528756,System Design,SWE 2026 (scraped)
technologies,4013,498,0.001980380758180359,0.00028584318573952454,40.77667914944585,40.77667914944585,,SWE 2026 (scraped)
