term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category,favors
lensa,300,165,0.0013421377570193805,0.00010329472614690013,26.467768682912645,26.467768682912645,,Junior 2026 (scraped)
cisco,159,92,0.0007113330112202716,5.7594635184938255e-05,19.192355817442248,19.192355817442248,,Junior 2026 (scraped)
jobs,232,357,0.0010379198654283208,0.000223492225663293,18.215018894742673,18.215018894742673,,Junior 2026 (scraped)
cgi,107,40,0.000478695800003579,2.5041145732581848e-05,15.921960463704615,15.921960463704615,,Junior 2026 (scraped)
apex,146,218,0.0006531737084160985,0.00013647424424257108,14.642604045133567,14.642604045133567,,Junior 2026 (scraped)
tiktok,96,19,0.00042948408224620176,1.1894544222976378e-05,14.285190491247294,14.285190491247294,,Junior 2026 (scraped)
veeva,84,31,0.0003757985719654265,1.9406887942750933e-05,14.102257403398399,14.102257403398399,,Junior 2026 (scraped)
internship,111,133,0.0004965909700971708,8.326180956083464e-05,13.891414479600211,13.891414479600211,,Junior 2026 (scraped)
lockheed,72,33,0.0003221130616846513,2.0658945229380025e-05,13.066603242440276,13.066603242440276,,Junior 2026 (scraped)
program,441,1568,0.001972942502818489,0.0009816129127172084,12.962766739636905,12.962766739636905,,Junior 2026 (scraped)
martin,71,34,0.0003176392691612534,2.1284973872694573e-05,12.9604318584177,12.9604318584177,,Junior 2026 (scraped)
experience,2476,22993,0.011077110287933286,0.014394276595731361,-12.562125283006422,12.562125283006422,,Senior 2026 (scraped)
years,472,6076,0.002111630071043825,0.003803750036779183,-12.360082329368723,12.360082329368723,,Senior 2026 (scraped)
lead,97,2435,0.0004339578747695997,0.00152437974647092,-12.148696891847223,12.148696891847223,Mgmt/Mentoring,Senior 2026 (scraped)
redirects,60,33,0.0002684275514038761,2.0658945229380025e-05,11.832872950019755,11.832872950019755,,Junior 2026 (scraped)
directemployers,60,33,0.0002684275514038761,2.0658945229380025e-05,11.832872950019755,11.832872950019755,,Junior 2026 (scraped)
site,263,830,0.001176607433653657,0.0005196037739510734,11.554806603019802,11.554806603019802,,Junior 2026 (scraped)
week,248,766,0.0011095005458026878,0.0004795379407789424,11.485402813484864,11.485402813484864,,Junior 2026 (scraped)
behalf,83,113,0.0003713247794420286,7.074123669454372e-05,11.469780700434162,11.469780700434162,,Junior 2026 (scraped)
collected,67,73,0.00029974409906766163,4.570009096196187e-05,11.116964320470961,11.116964320470961,,Junior 2026 (scraped)
frontier,60,54,0.0002684275514038761,3.38055467389855e-05,11.045925067269037,11.045925067269037,,Junior 2026 (scraped)
basic,200,585,0.000894758504679587,0.00036622675633900953,10.90805856950829,10.90805856950829,,Junior 2026 (scraped)
ascot,49,30,0.00021921583364649882,1.8780859299436385e-05,10.599708938071776,10.599708938071776,,Junior 2026 (scraped)
