term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category,favors
years_experience,498,159,0.003121454673093437,0.001045124396095573,12.035752599080823,12.035752599080823,,Junior 2024 (arshkon)
capital_one,185,19,0.0011595765351853128,0.00012488907877871626,9.254921663369114,9.254921663369114,,Junior 2024 (arshkon)
systems_engineering,144,41,0.0009025893030631624,0.0002694974857856509,6.832139749213216,6.832139749213216,System Design,Junior 2024 (arshkon)
protected_law,131,39,0.000821105546536627,0.00025635126696683865,6.385061961187849,6.385061961187849,,Junior 2024 (arshkon)
ai_engineer,8,78,5.014385017017569e-05,0.0005127025339336773,-6.26374172445002,6.26374172445002,AI/LLM,Junior 2026 (scraped)
minimum_years,93,18,0.0005829222582282924,0.00011831596936931016,6.1948744387478945,6.1948744387478945,,Junior 2024 (arshkon)
ai_driven,5,76,3.133990635635981e-05,0.000499556315114865,-5.999535134876942,5.999535134876942,"AI/LLM, Ownership",Junior 2026 (scraped)
lockheed_martin,9,71,5.641183144144765e-05,0.0004666907680678345,-5.972862137661158,5.972862137661158,,Junior 2026 (scraped)
privacy_notice,29,95,0.00018177145686688688,0.0006244453938935813,-5.818364829110383,5.818364829110383,,Junior 2026 (scraped)
application_development,103,29,0.0006456020709410121,0.00019062017287277747,5.805372928420509,5.805372928420509,,Junior 2024 (arshkon)
job_seekers,12,70,7.521577525526354e-05,0.0004601176586584284,-5.797487789016942,5.797487789016942,,Junior 2026 (scraped)
color_religion,257,132,0.0016108711867168942,0.0008676504420416078,5.785922836858681,5.785922836858681,,Junior 2024 (arshkon)
systems_engineer,117,38,0.0007333538087388195,0.0002497781575574325,5.771266257060938,5.771266257060938,System Design,Junior 2024 (arshkon)
ai_ml,23,85,0.00014416356923925512,0.0005587142997995201,-5.7647086264842695,5.7647086264842695,AI/LLM,Junior 2026 (scraped)
python_javascript,13,70,8.14837565265355e-05,0.0004601176586584284,-5.732639888618815,5.732639888618815,,Junior 2026 (scraped)
clicking_apply,17,74,0.00010655568161162334,0.00048641009629605284,-5.646230444589864,5.646230444589864,,Junior 2026 (scraped)
career_site,4,68,2.5071925085087846e-05,0.0004469714398396161,-5.6018281016066345,5.6018281016066345,,Junior 2026 (scraped)
staffing_firm,6,62,3.760788762763177e-05,0.0004075327833831794,-5.574813885963259,5.574813885963259,,Junior 2026 (scraped)
website_search,79,17,0.0004951705204304849,0.00011174285995990403,5.56965951602359,5.56965951602359,,Junior 2024 (arshkon)
