source,definition,n_companies,n_companies_ge5,n_companies_any_entry,share_companies_any_entry,n_ge5_zero_entry,share_ge5_zero_entry,p25_own_entry_share,p50_own_entry_share,p75_own_entry_share,p90_own_entry_share,p95_own_entry_share,mean_own_entry_share,n_ge5_any_entry
kaggle_arshkon,J1,2298,164,147,0.0639686684073107,130,0.7926829268292683,0.0728021978021978,0.11805555555555555,0.16346153846153846,0.21555555555555553,0.3333333333333333,0.14797598353575583,34
kaggle_arshkon,J3,2298,164,320,0.1392515230635335,93,0.5670731707317073,0.14285714285714285,0.2,0.43333333333333335,0.6363636363636364,0.775,0.29895845884701217,71
kaggle_arshkon,J2,2298,164,160,0.06962576153176675,126,0.7682926829268293,0.0728021978021978,0.11805555555555555,0.16666666666666666,0.25555555555555604,0.33958333333333324,0.1516947427219074,38
kaggle_arshkon,J4,2298,164,620,0.26979982593559615,54,0.32926829268292684,0.2,0.3333333333333333,0.5,0.7550000000000004,1.0,0.4026849318451984,110
kaggle_asaniczka,J1,4948,632,145,0.029304769603880357,562,0.8892405063291139,0.03191207627118644,0.06904761904761905,0.14285714285714285,0.2,0.2222222222222222,0.09427308059223768,70
kaggle_asaniczka,J3,4948,632,781,0.1578415521422797,367,0.5806962025316456,0.10810810810810811,0.17391304347826086,0.2857142857142857,0.5,0.6666666666666666,0.23517469497615573,265
kaggle_asaniczka,J2,4948,632,163,0.03294260307194826,552,0.8734177215189873,0.031129807692307693,0.07229965156794424,0.137987012987013,0.2,0.2222222222222222,0.09431074931569161,80
kaggle_asaniczka,J4,4948,632,1516,0.30638641875505257,212,0.33544303797468356,0.16666666666666666,0.25,0.42857142857142855,0.6,0.75,0.3269886410254554,420
scraped,J1,7940,1500,664,0.0836272040302267,1191,0.794,0.054945054945054944,0.1,0.18181818181818182,0.2857142857142857,0.4,0.14429051522796735,309
scraped,J3,7940,1500,1555,0.19584382871536524,796,0.5306666666666666,0.125,0.2,0.3333333333333333,0.5,0.7253246753246756,0.2720726502503195,704
scraped,J2,7940,1500,691,0.08702770780856423,1170,0.78,0.05263157894736842,0.1,0.1804812834224599,0.268571428571429,0.4,0.14080694212948464,330
scraped,J4,7940,1500,2857,0.35982367758186395,468,0.312,0.2,0.3333333333333333,0.5,0.75,1.0,0.40014511054417773,1032
