company,n,j1,j2,j3,j4,n_yoe,agg_n,source
Old Mission,2,0.0,0.0,1.0,1.0,2.0,0.0,scraped
Maven Clinic,5,0.0,0.0,0.0,0.0,4.0,0.0,scraped
Cedars-Sinai,2,0.0,0.0,0.0,1.0,1.0,0.0,scraped
Figma,14,0.0,0.0,0.0,0.0,10.0,0.0,scraped
Vitol,8,0.0,0.0,0.0,1.0,6.0,0.0,scraped
Skild AI,8,0.0,0.0,0.0,3.0,3.0,0.0,scraped
Axon,44,0.0,0.0,1.0,4.0,36.0,0.0,scraped
Frequentis,2,0.0,0.0,0.0,1.0,2.0,0.0,scraped
Rilla,6,1.0,1.0,0.0,0.0,0.0,0.0,scraped
Versa Networks,5,0.0,0.0,0.0,0.0,0.0,0.0,scraped
WorldQuant,5,0.0,0.0,0.0,0.0,0.0,0.0,scraped
Aircall,15,1.0,1.0,4.0,8.0,12.0,0.0,scraped
D.A. Davidson Companies,2,0.0,0.0,0.0,0.0,0.0,0.0,scraped
Hightouch,2,0.0,0.0,0.0,0.0,0.0,0.0,scraped
Radar,9,1.0,1.0,0.0,0.0,1.0,0.0,scraped
Stripe,20,4.0,4.0,6.0,6.0,15.0,0.0,scraped
RAINBOW,1,0.0,0.0,0.0,0.0,1.0,0.0,scraped
Vapi,1,0.0,0.0,0.0,0.0,0.0,0.0,scraped
Veranova,1,0.0,0.0,0.0,0.0,0.0,0.0,scraped
Globus Medical,7,0.0,0.0,1.0,3.0,6.0,0.0,scraped
TRACTIAN,4,0.0,0.0,1.0,1.0,4.0,0.0,scraped
Omnissa,3,0.0,0.0,0.0,0.0,2.0,0.0,scraped
Fivetran,13,0.0,0.0,0.0,0.0,5.0,0.0,scraped
Capital Health (US),1,0.0,0.0,0.0,0.0,1.0,0.0,scraped
Medal,3,0.0,0.0,0.0,0.0,2.0,0.0,scraped
Insulet Corporation,29,0.0,0.0,1.0,11.0,26.0,0.0,scraped
webAI,14,1.0,1.0,0.0,3.0,12.0,0.0,scraped
Medline,4,0.0,0.0,1.0,1.0,4.0,0.0,scraped
IXL Learning,9,4.0,4.0,0.0,2.0,5.0,0.0,scraped
Creative Artists Agency,3,0.0,0.0,0.0,1.0,2.0,0.0,scraped
Bilt,7,0.0,0.0,0.0,0.0,7.0,0.0,scraped
The Reynolds and Reynolds Company,1,0.0,0.0,0.0,1.0,1.0,0.0,scraped
SS&C Technologies,20,0.0,0.0,1.0,4.0,12.0,0.0,scraped
AngelList,9,0.0,0.0,0.0,0.0,7.0,0.0,scraped
Metropolis Technologies,9,0.0,0.0,1.0,1.0,8.0,0.0,scraped
Robinhood,24,2.0,2.0,3.0,6.0,12.0,0.0,scraped
Marvell Technology,15,2.0,2.0,2.0,4.0,9.0,0.0,scraped
Cirrus Logic,7,1.0,1.0,1.0,1.0,5.0,0.0,scraped
TransUnion,2,1.0,1.0,0.0,0.0,0.0,0.0,scraped
Spotify,24,0.0,0.0,1.0,3.0,4.0,0.0,scraped
"Stanley Black & Decker, Inc.",2,0.0,0.0,0.0,1.0,2.0,0.0,scraped
Fashion Nova,2,1.0,1.0,0.0,2.0,2.0,0.0,scraped
Appian,4,0.0,0.0,0.0,0.0,1.0,0.0,scraped
L3Harris Technologies,56,0.0,1.0,8.0,11.0,56.0,0.0,scraped
Q2,15,1.0,1.0,7.0,8.0,12.0,0.0,scraped
Dover Fueling Solutions,1,0.0,0.0,0.0,0.0,1.0,0.0,scraped
Protegrity,2,0.0,0.0,0.0,0.0,0.0,0.0,scraped
TEGNA,1,0.0,0.0,0.0,0.0,1.0,0.0,scraped
Glidewell Dental,1,0.0,0.0,0.0,0.0,0.0,0.0,scraped
Berkley Technology Services,5,0.0,0.0,0.0,1.0,5.0,0.0,scraped
PEAK6,4,0.0,0.0,2.0,2.0,3.0,0.0,scraped
Barings,1,0.0,0.0,0.0,0.0,0.0,0.0,scraped
EMW Staffing Solutions LLC,3,0.0,0.0,0.0,2.0,2.0,0.0,scraped
General Dynamics Information Technology,73,2.0,3.0,12.0,17.0,73.0,3.0,scraped
Coherent Corp.,8,2.0,2.0,2.0,3.0,4.0,0.0,scraped
Apex - Spacecraft Manufacturing,5,0.0,0.0,0.0,2.0,4.0,0.0,scraped
Quantcast,3,0.0,0.0,1.0,1.0,2.0,0.0,scraped
OneStream Software,2,0.0,0.0,0.0,1.0,1.0,0.0,scraped
Boston Dynamics,16,0.0,0.0,2.0,7.0,13.0,0.0,scraped
Snap Inc.,15,0.0,0.0,9.0,9.0,14.0,1.0,scraped
Virtual Service Operations,2,0.0,0.0,0.0,0.0,1.0,0.0,scraped
Charles Schwab,50,0.0,0.0,2.0,11.0,44.0,1.0,scraped
Publicis Sapient,7,1.0,1.0,0.0,0.0,1.0,0.0,scraped
Deluxe,6,0.0,0.0,0.0,0.0,5.0,0.0,scraped
LogRocket,2,0.0,0.0,0.0,0.0,2.0,0.0,scraped
Shield AI,7,0.0,0.0,0.0,0.0,5.0,0.0,scraped
Fora Travel,5,1.0,1.0,1.0,5.0,5.0,0.0,scraped
Atomus,1,0.0,0.0,1.0,1.0,1.0,0.0,scraped
Flock,4,0.0,0.0,1.0,1.0,2.0,0.0,scraped
Baylor Genetics,3,0.0,0.0,0.0,0.0,3.0,0.0,scraped
Stepful,2,0.0,0.0,0.0,0.0,2.0,0.0,scraped
Electronic Arts (EA),7,0.0,0.0,1.0,1.0,6.0,0.0,scraped
Epsilon,8,1.0,1.0,1.0,2.0,6.0,0.0,scraped
