source,n_agg,n_total,agg_mean_len,nonagg_mean_len,agg_mean_yoe,nonagg_mean_yoe,agg_entry_share,nonagg_entry_share,agg_share_of_source
kaggle_arshkon,430,4691,2780.446511627907,3358.6421027927718,5.360655737704918,5.209223847019123,0.02558139534883721,0.03848861769537667,0.09166489021530591
kaggle_asaniczka,2943,18129,4276.265715256541,3804.93138416963,5.986868686868687,5.763405196241017,0.0054366292898402994,0.01237982352166469,0.16233658778752275
scraped,6800,40881,3905.031470588235,5112.935506587248,5.46277145811789,4.980095306372032,0.02823529411764706,0.03177723658343359,0.1663364399109611
