company,n_arsh,n_scraped,j1_arsh,j1_scraped,j2_arsh,j2_scraped,j3_arsh,j3_scraped,j4_arsh,j4_scraped,nyoe_arsh,nyoe_scraped,len_arsh,len_scraped,ai_arsh,ai_scraped
NLB Services,9,25,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,6.0,7.0,1224.6666666666667,1999.48,1.0,6.0
World Wide Technology,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2801.8,7272.285714285715,0.0,7.0
Entegee,5,10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,1483.0,2032.2,0.0,0.0
Synechron,15,63,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.0,16.0,4114.066666666667,5541.952380952381,1.0,20.0
Tech Consulting,6,10,1.0,6.0,1.0,6.0,4.0,6.0,4.0,6.0,5.0,6.0,3753.0,2355.6,0.0,1.0
hackajob,10,216,0.0,4.0,0.0,4.0,0.0,20.0,1.0,43.0,5.0,166.0,2521.6,5945.1712962962965,2.0,77.0
Procore Technologies,8,22,0.0,1.0,0.0,1.0,1.0,9.0,1.0,9.0,7.0,20.0,4577.0,4485.590909090909,0.0,18.0
JPMorgan Chase & Co.,12,657,1.0,0.0,1.0,0.0,2.0,24.0,3.0,132.0,9.0,538.0,4633.25,5819.563165905632,0.0,221.0
Jobot,12,92,1.0,2.0,1.0,2.0,1.0,8.0,2.0,14.0,8.0,57.0,2453.5833333333335,3279.891304347826,1.0,32.0
"Pyramid Consulting, Inc",7,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,2636.8571428571427,3486.235294117647,0.0,17.0
Brooksource,5,48,0.0,6.0,0.0,7.0,0.0,2.0,0.0,4.0,5.0,28.0,2882.4,3957.1875,0.0,17.0
"VMC Soft Technologies, Inc",6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1759.0,2668.5,0.0,1.0
DataAnnotation,8,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.375,2475.7323943661972,8.0,71.0
Amazon,31,335,4.0,16.0,4.0,16.0,9.0,47.0,20.0,223.0,31.0,315.0,4044.1290322580644,5631.331343283582,5.0,170.0
Adobe,9,127,2.0,4.0,2.0,4.0,0.0,4.0,0.0,16.0,3.0,85.0,4543.222222222223,7677.055118110236,4.0,127.0
Leidos,13,245,2.0,28.0,2.0,28.0,7.0,42.0,9.0,47.0,11.0,195.0,4063.153846153846,7433.244897959184,0.0,60.0
Cisco,5,80,0.0,12.0,0.0,12.0,1.0,19.0,3.0,27.0,3.0,61.0,4954.8,7721.4625,2.0,80.0
CACI International Inc,10,82,1.0,6.0,1.0,6.0,0.0,8.0,1.0,14.0,8.0,56.0,4890.1,5949.756097560976,0.0,25.0
Northrop Grumman,14,103,1.0,0.0,1.0,2.0,2.0,34.0,3.0,47.0,14.0,101.0,6586.5,6825.135922330097,1.0,3.0
Ledgent Technology,9,32,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,22.0,2578.4444444444443,3947.5625,0.0,17.0
Siri InfoSolutions Inc,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1486.0,1683.7272727272727,0.0,5.0
Aditi Consulting,8,33,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,5.0,22.0,1651.625,4869.0,0.0,33.0
Eliassen Group,12,37,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,7.0,18.0,2578.4166666666665,4288.081081081081,0.0,26.0
FastTek Global,5,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,19.0,3997.2,5657.95652173913,2.0,21.0
Raas Infotek,7,32,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,22.0,1723.857142857143,2320.09375,0.0,6.0
"Zodiac Solutions, Inc",8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,881.375,840.2857142857143,0.0,3.0
HTC Global Services,7,13,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,12.0,3519.1428571428573,4243.461538461538,0.0,3.0
SAIC,10,25,0.0,2.0,0.0,2.0,0.0,2.0,2.0,6.0,9.0,15.0,3086.6,3871.04,0.0,5.0
AT&T,8,23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,14.0,5000.25,6488.347826086957,0.0,15.0
BLUE ORIGIN,7,86,0.0,2.0,0.0,2.0,0.0,7.0,0.0,15.0,7.0,71.0,7830.857142857143,8731.732558139534,0.0,38.0
Quantum World Technologies Inc.,8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1442.5,2397.818181818182,0.0,4.0
Robert Half,20,81,1.0,0.0,1.0,0.0,0.0,2.0,2.0,11.0,8.0,37.0,2677.55,3066.864197530864,1.0,58.0
"V-Soft Consulting Group, Inc.",6,9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2367.1666666666665,3140.777777777778,0.0,6.0
Microsoft,19,386,0.0,1.0,0.0,2.0,10.0,144.0,10.0,158.0,18.0,373.0,5966.421052631579,6428.79792746114,9.0,325.0
Deloitte,22,59,1.0,0.0,1.0,0.0,0.0,9.0,8.0,21.0,20.0,57.0,3980.090909090909,5698.033898305085,0.0,53.0
SynergisticIT,5,17,5.0,17.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3644.0,4596.64705882353,0.0,17.0
ServiceNow,10,14,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,13.0,6713.3,7242.571428571428,0.0,14.0
Google,15,757,0.0,7.0,0.0,7.0,7.0,391.0,8.0,599.0,15.0,746.0,4502.266666666666,4767.603698811096,0.0,403.0
Centraprise,14,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,1177.4285714285713,1088.304347826087,0.0,4.0
