source_group,native,native_n,exact_match_n,accuracy_using_native_reference
arshkon_2024,associate,263.0,4.0,0.015209125475285171
arshkon_2024,director,20.0,5.0,0.25
arshkon_2024,entry,738.0,53.0,0.07181571815718157
arshkon_2024,executive,11.0,0.0,0.0
arshkon_2024,intern,20.0,0.0,0.0
arshkon_2024,mid-senior,2231.0,1393.0,0.6243836844464365
scraped_2026,associate,1405.0,7.0,0.00498220640569395
scraped_2026,director,284.0,43.0,0.15140845070422534
scraped_2026,entry,4689.0,476.0,0.10151418212838559
scraped_2026,executive,73.0,0.0,0.0
scraped_2026,intern,629.0,0.0,0.0
scraped_2026,mid-senior,27759.0,13845.0,0.49875715984005187
