source_group,label_system,label,n,yoe_known_n,yoe_known_share,avg_yoe,p25_yoe,median_yoe,p75_yoe,share_yoe_le_2_among_known,share_yoe_ge_5_among_known
arshkon_2024,final,associate,15,11,0.7333333333333333,2.909090909090909,2.0,2.0,3.5,0.6363636363636364,0.18181818181818182
arshkon_2024,final,director,13,13,1.0,6.923076923076923,5.0,5.0,10.0,0.15384615384615385,0.8461538461538461
arshkon_2024,final,entry,175,65,0.37142857142857144,2.046153846153846,1.0,2.0,2.0,0.7846153846153846,0.06153846153846154
arshkon_2024,final,mid-senior,2064,1396,0.6763565891472868,6.0479942693409745,4.0,5.0,8.0,0.06303724928366762,0.745702005730659
arshkon_2024,final,unknown,2424,1426,0.5882838283828383,4.560308555399719,3.0,4.0,5.0,0.20196353436185133,0.48597475455820477
arshkon_2024,native,associate,263,149,0.5665399239543726,3.8926174496644297,2.0,3.0,5.0,0.2953020134228188,0.3221476510067114
arshkon_2024,native,director,20,14,0.7,7.714285714285714,5.0,7.5,10.0,0.07142857142857142,0.8571428571428571
arshkon_2024,native,entry,738,458,0.6205962059620597,4.179039301310044,2.0,3.0,5.0,0.28602620087336245,0.425764192139738
arshkon_2024,native,executive,11,8,0.7272727272727273,8.0,5.0,6.5,9.75,0.0,0.875
arshkon_2024,native,intern,20,1,0.05,2.0,2.0,2.0,2.0,1.0,0.0
arshkon_2024,native,mid-senior,2231,1477,0.662034961900493,5.606635071090047,4.0,5.0,7.0,0.08192281651997292,0.6872037914691943
scraped_2026,final,associate,52,35,0.6730769230769231,2.742857142857143,2.0,2.0,3.0,0.5142857142857142,0.2
scraped_2026,final,director,295,210,0.711864406779661,7.004761904761905,5.0,6.0,10.0,0.05238095238095238,0.8809523809523809
scraped_2026,final,entry,1275,318,0.24941176470588236,1.9182389937106918,1.0,2.0,2.0,0.8176100628930818,0.06289308176100629
scraped_2026,final,mid-senior,17418,13129,0.7537604776667814,5.809201005407876,4.0,5.0,7.0,0.07761444131312362,0.7286922080889634
scraped_2026,final,unknown,21841,13889,0.6359141064969552,4.375908992728058,3.0,4.0,5.0,0.24724602203182375,0.44344445244438047
scraped_2026,native,associate,1405,915,0.6512455516014235,4.409836065573771,3.0,4.0,5.0,0.23278688524590163,0.43934426229508194
scraped_2026,native,director,284,207,0.7288732394366197,7.9227053140096615,5.0,8.0,10.0,0.04830917874396135,0.8260869565217391
scraped_2026,native,entry,4689,1818,0.3877159309021113,2.355885588558856,1.0,2.0,2.0,0.8113311331133113,0.10561056105610561
scraped_2026,native,executive,73,45,0.6164383561643836,5.888888888888889,3.0,5.0,7.0,0.2,0.5777777777777777
scraped_2026,native,intern,629,27,0.04292527821939587,1.5925925925925926,1.0,1.0,2.0,0.9259259259259259,0.07407407407407407
scraped_2026,native,mid-senior,27759,19878,0.7160920782448935,5.4312305060871315,3.0,5.0,7.0,0.0932186336653587,0.6475500553375592
