comparison,source_group,n,exact_match_n,exact_match_share,cohen_kappa
native_intern_entry_executive_director_all_final_values,arshkon_2024,3283,1476,0.44958879074017666,0.18402741337759734
native_intern_entry_executive_director_all_final_values,scraped_2026,34839,14915,0.4281121731392979,0.13508189680069627
native_intern_entry_executive_director_final_known_only,arshkon_2024,1667,1476,0.8854229154169166,0.45413976485271607
native_intern_entry_executive_director_final_known_only,scraped_2026,15982,14915,0.9332373920660744,0.646439146378968
