era,seniority_final,n,v1_rebuilt_per_1k,t11_per_1k
2024,director,91.0,0.025991353543054676,0.12129298320092183
2024,mid-senior,13574.0,0.03400943358859075,0.1927201236686809
2026,director,325.0,0.0230697891882664,0.22915990593677954
2026,mid-senior,19703.0,0.03424092613182866,0.2156966046497479
