source,period,text_source,seniority_final,n
kaggle_arshkon,2024-04,llm,associate,15
kaggle_arshkon,2024-04,llm,director,13
kaggle_arshkon,2024-04,llm,entry,175
kaggle_arshkon,2024-04,llm,mid-senior,2059
kaggle_arshkon,2024-04,llm,unknown,2417
kaggle_arshkon,2024-04,raw,mid-senior,5
kaggle_arshkon,2024-04,raw,unknown,7
kaggle_asaniczka,2024-01,llm,associate,8
kaggle_asaniczka,2024-01,llm,director,72
kaggle_asaniczka,2024-01,llm,entry,149
kaggle_asaniczka,2024-01,llm,mid-senior,9192
kaggle_asaniczka,2024-01,llm,unknown,6153
kaggle_asaniczka,2024-01,raw,director,13
kaggle_asaniczka,2024-01,raw,entry,9
kaggle_asaniczka,2024-01,raw,mid-senior,1738
kaggle_asaniczka,2024-01,raw,unknown,795
scraped,2026-03,llm,associate,15
scraped,2026-03,llm,director,36
scraped,2026-03,llm,entry,223
scraped,2026-03,llm,mid-senior,1891
scraped,2026-03,llm,unknown,1814
scraped,2026-03,raw,director,107
scraped,2026-03,raw,entry,441
scraped,2026-03,raw,mid-senior,6407
scraped,2026-03,raw,unknown,8862
scraped,2026-04,llm,associate,13
scraped,2026-04,llm,director,16
scraped,2026-04,llm,entry,62
scraped,2026-04,llm,mid-senior,1010
scraped,2026-04,llm,unknown,886
scraped,2026-04,raw,director,106
scraped,2026-04,raw,entry,316
scraped,2026-04,raw,mid-senior,6226
scraped,2026-04,raw,unknown,8721
