source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap,aggregator_excluded
kaggle_arshkon,2024-04,associate,14,1.7857142857142858,1.5,0.0,3.0,tech_count,llm,25,True
kaggle_arshkon,2024-04,director,12,3.0,3.5,1.0,4.25,tech_count,llm,25,True
kaggle_arshkon,2024-04,entry,162,2.3950617283950617,2.0,1.0,3.0,tech_count,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,3.2210866057019905,3.0,1.0,5.0,tech_count,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,2.65622076707203,2.0,1.0,4.0,tech_count,llm,25,True
kaggle_asaniczka,2024-01,associate,7,1.8571428571428572,1.0,1.0,2.5,tech_count,llm,25,True
kaggle_asaniczka,2024-01,director,42,1.7380952380952381,1.0,0.0,3.0,tech_count,llm,25,True
kaggle_asaniczka,2024-01,entry,113,2.672566371681416,2.0,1.0,4.0,tech_count,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,2.8202139549736547,2.0,1.0,4.0,tech_count,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,2.392136025504782,2.0,0.0,4.0,tech_count,llm,25,True
scraped,2026-03,associate,11,4.818181818181818,6.0,3.0,6.0,tech_count,llm,25,True
scraped,2026-03,director,30,4.266666666666667,4.5,1.25,6.0,tech_count,llm,25,True
scraped,2026-03,entry,132,2.5606060606060606,2.0,0.0,4.0,tech_count,llm,25,True
scraped,2026-03,mid-senior,1284,3.529595015576324,3.0,1.0,5.0,tech_count,llm,25,True
scraped,2026-03,unknown,1135,2.852863436123348,2.0,1.0,4.0,tech_count,llm,25,True
scraped,2026-04,associate,10,3.6,3.5,2.25,4.75,tech_count,llm,25,True
scraped,2026-04,director,14,5.142857142857143,4.5,1.0,9.5,tech_count,llm,25,True
scraped,2026-04,entry,57,2.456140350877193,2.0,0.0,4.0,tech_count,llm,25,True
scraped,2026-04,mid-senior,751,3.422103861517976,3.0,1.0,5.0,tech_count,llm,25,True
scraped,2026-04,unknown,606,2.7244224422442245,2.0,0.25,4.0,tech_count,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.0,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_arshkon,2024-04,director,12,0.0,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.12962962962962962,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.11188811188811189,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.07296538821328344,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.14285714285714285,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.04424778761061947,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.06083346638990899,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.06822529224229543,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-03,associate,11,0.18181818181818182,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-03,director,30,0.36666666666666664,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-03,entry,132,0.3560606060606061,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-03,mid-senior,1284,0.3862928348909657,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-03,unknown,1135,0.4193832599118943,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-04,associate,10,0.0,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-04,director,14,1.3571428571428572,0.0,0.0,2.75,ai_count,llm,25,True
scraped,2026-04,entry,57,0.40350877192982454,0.0,0.0,1.0,ai_count,llm,25,True
scraped,2026-04,mid-senior,751,0.41145139813581894,0.0,0.0,0.0,ai_count,llm,25,True
scraped,2026-04,unknown,606,0.4306930693069307,0.0,0.0,0.0,ai_count,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.35714285714285715,0.0,0.0,0.75,soft_skill_count,llm,25,True
kaggle_arshkon,2024-04,director,12,0.4166666666666667,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.41975308641975306,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.3797740720817644,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.37418147801683815,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,soft_skill_count,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.3333333333333333,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.2920353982300885,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.3467986587897174,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.3421891604675877,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-03,associate,11,0.2727272727272727,0.0,0.0,0.5,soft_skill_count,llm,25,True
scraped,2026-03,director,30,0.4666666666666667,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-03,entry,132,0.5,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-03,mid-senior,1284,0.35202492211838005,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-03,unknown,1135,0.4105726872246696,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-04,associate,10,0.4,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-04,director,14,0.7857142857142857,1.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-04,entry,57,0.543859649122807,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-04,mid-senior,751,0.3821571238348868,0.0,0.0,1.0,soft_skill_count,llm,25,True
scraped,2026-04,unknown,606,0.334983498349835,0.0,0.0,1.0,soft_skill_count,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.2857142857142857,0.0,0.0,0.75,scope_count,llm,25,True
kaggle_arshkon,2024-04,director,12,0.3333333333333333,0.0,0.0,0.25,scope_count,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.15432098765432098,0.0,0.0,0.0,scope_count,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.3399677245831092,0.0,0.0,1.0,scope_count,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.21796071094480823,0.0,0.0,0.0,scope_count,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,scope_count,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.21428571428571427,0.0,0.0,0.0,scope_count,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.1504424778761062,0.0,0.0,0.0,scope_count,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.2867635318537442,0.0,0.0,1.0,scope_count,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.20170031880977685,0.0,0.0,0.0,scope_count,llm,25,True
scraped,2026-03,associate,11,0.18181818181818182,0.0,0.0,0.0,scope_count,llm,25,True
scraped,2026-03,director,30,0.5666666666666667,0.0,0.0,1.0,scope_count,llm,25,True
scraped,2026-03,entry,132,0.3106060606060606,0.0,0.0,1.0,scope_count,llm,25,True
scraped,2026-03,mid-senior,1284,0.6222741433021807,0.0,0.0,1.0,scope_count,llm,25,True
scraped,2026-03,unknown,1135,0.5145374449339207,0.0,0.0,1.0,scope_count,llm,25,True
