source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
scraped,2026-04,associate,11,0.45454545454545453,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,director,15,0.7333333333333333,1.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,entry,58,0.5517241379310345,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,mid-senior,819,0.3724053724053724,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,unknown,716,0.3268156424581006,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.26666666666666666,0.0,0.0,0.5,scope_count,llm,25
kaggle_arshkon,2024-04,director,13,0.3076923076923077,0.0,0.0,0.0,scope_count,llm,25
kaggle_arshkon,2024-04,entry,172,0.1511627906976744,0.0,0.0,0.0,scope_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.3318273092369478,0.0,0.0,1.0,scope_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.21132713440405748,0.0,0.0,0.0,scope_count,llm,25
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,scope_count,llm,25
kaggle_asaniczka,2024-01,director,46,0.21739130434782608,0.0,0.0,0.0,scope_count,llm,25
kaggle_asaniczka,2024-01,entry,118,0.1694915254237288,0.0,0.0,0.0,scope_count,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,0.2807174887892377,0.0,0.0,0.0,scope_count,llm,25
kaggle_asaniczka,2024-01,unknown,4984,0.2030497592295345,0.0,0.0,0.0,scope_count,llm,25
scraped,2026-03,associate,11,0.18181818181818182,0.0,0.0,0.0,scope_count,llm,25
scraped,2026-03,director,30,0.5666666666666667,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-03,entry,161,0.30434782608695654,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-03,mid-senior,1411,0.6250885896527285,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-03,unknown,1334,0.4835082458770615,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-04,associate,11,0.36363636363636365,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-04,director,15,0.8666666666666667,1.0,0.0,1.5,scope_count,llm,25
scraped,2026-04,entry,58,0.41379310344827586,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-04,mid-senior,819,0.5921855921855922,0.0,0.0,1.0,scope_count,llm,25
scraped,2026-04,unknown,716,0.3840782122905028,0.0,0.0,1.0,scope_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.2,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_arshkon,2024-04,director,13,0.15384615384615385,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_arshkon,2024-04,entry,172,0.06395348837209303,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.15060240963855423,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.11031276415891801,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,management_strong_count,llm,25
kaggle_asaniczka,2024-01,director,46,0.08695652173913043,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_asaniczka,2024-01,entry,118,0.09322033898305085,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,0.13841554559043348,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_asaniczka,2024-01,unknown,4984,0.10272873194221509,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-03,associate,11,0.18181818181818182,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-03,director,30,0.23333333333333334,0.0,0.0,0.0,management_strong_count,llm,25
