period,is_aggregator,n,has_yoe,median_yoe,mean_yoe,q25,q75
2024-01,False,118,48.0,2.0,2.75,1.0,3.0
2024-01,True,12,8.0,2.0,2.5,1.0,3.3
2024-04,False,638,377.0,3.0,3.75,2.0,5.0
2024-04,True,192,99.0,5.0,5.15,3.0,7.5
2026-03,False,2338,806.0,2.0,2.17,1.0,2.0
2026-03,True,917,260.0,2.0,2.16,1.0,2.0
