period,n,has_yoe,median_yoe,mean_yoe,company_cap
2024-01,114,51.0,2.0,2.784,3
2024-04,596,339.0,3.0,3.82,3
2026-03,1776,589.0,2.0,2.229,3
2024-01,122,54.0,2.0,2.704,5
2024-04,661,379.0,3.0,3.81,5
2026-03,2002,683.0,2.0,2.242,5
2024-01,127,54.0,2.0,2.704,10
2024-04,739,428.0,3.0,3.902,10
2026-03,2302,806.0,2.0,2.211,10
2024-01,130,56.0,2.0,2.714,50
2024-04,830,476.0,3.0,4.044,50
2026-03,2891,1011.0,2.0,2.186,50
2024-01,130,56.0,2.0,2.714,9999
2024-04,830,476.0,3.0,4.044,9999
2026-03,3255,1066.0,2.0,2.17,9999
