company_name_canonical,is_aggregator,n,has_yoe,med_yoe,mean_yoe
Jobs via Dice,True,213,71.0,2.0,1.85
Epic,False,163,0.0,,
TikTok,False,93,1.0,2.0,2.0
YO IT Consulting,False,80,15.0,2.0,1.6
ByteDance,False,64,3.0,2.0,2.0
Cisco,False,45,38.0,1.0,1.58
Actalent,True,45,10.0,2.0,1.8
DataAnnotation,True,38,0.0,,
SpaceX,False,37,34.0,2.0,1.71
Leidos,False,36,22.0,2.0,1.91
Lensa,True,32,18.0,2.0,1.89
Canonical,False,31,0.0,,
CGI,False,27,19.0,5.0,5.58
Turing,True,26,26.0,3.0,3.19
Lockheed Martin,False,23,6.0,2.0,1.83
Andiamo,False,21,20.0,2.0,1.85
IBM,False,19,1.0,1.0,1.0
Raytheon,False,18,14.0,2.0,2.0
Anduril Industries,False,18,14.0,2.0,2.14
Google,False,17,0.0,,
Apex Systems,True,17,3.0,2.0,3.0
Aditi Consulting,True,17,12.0,5.0,4.5
Amazon,False,16,1.0,1.0,1.0
Tata Consultancy Services,True,16,0.0,,
Indeed,True,16,16.0,1.0,1.0
