period,swe_classification_tier,seniority_3level,n,pct
2024-04,embedding_high,junior,11,15.94
2024-04,embedding_high,mid,6,8.7
2024-04,embedding_high,senior,52,75.36
2024-04,regex,junior,719,19.98
2024-04,regex,mid,193,5.36
2024-04,regex,senior,2687,74.66
2024-04,title_lookup_llm,junior,100,25.13
2024-04,title_lookup_llm,mid,29,7.29
2024-04,title_lookup_llm,senior,269,67.59
2026-03,embedding_high,junior,23,7.54
2026-03,embedding_high,mid,6,1.97
2026-03,embedding_high,senior,276,90.49
2026-03,regex,junior,3062,14.46
2026-03,regex,mid,571,2.7
2026-03,regex,senior,17537,82.84
2026-03,title_lookup_llm,junior,170,17.1
2026-03,title_lookup_llm,mid,45,4.53
2026-03,title_lookup_llm,senior,779,78.37
