period,yoe_bin,n,pct
2024-01,1-2,33,25.38
2024-01,3-4,16,12.31
2024-01,5+,7,5.38
2024-01,missing,74,56.92
2024-04,1-2,147,17.71
2024-04,3-4,140,16.87
2024-04,5+,189,22.77
2024-04,missing,354,42.65
2026-03,1-2,886,27.22
2026-03,3-4,103,3.16
2026-03,5+,77,2.37
2026-03,missing,2189,67.25
