source,period,n,mean_desc_len,sd_desc_len,mean_core_len,sd_core_len,mean_yoe,sd_yoe
kaggle_asaniczka,2024-01,21542,4073.1,2072.1,2710.1,1765.8,5.66,2.93
kaggle_arshkon,2024-04,2986,3480.0,2147.7,2898.9,1711.3,5.63,2.68
scraped,2026-03,18370,5299.6,2396.9,4397.7,2007.9,5.29,2.6
