period,company_industry,n,pct,rn
2024-04,IT Services and IT Consulting,1213,24.35,1
2024-04,Software Development,789,15.84,2
2024-04,Financial Services,473,9.5,3
2024-04,Staffing and Recruiting,274,5.5,4
2024-04,Information Services,156,3.13,5
2024-04,Information Technology & Services,126,2.53,6
2024-04,"Technology, Information and Internet",123,2.47,7
2024-04,Defense and Space Manufacturing,121,2.43,8
2024-04,Banking,92,1.85,9
2024-04,"Technology, Information and Media",85,1.71,10
2024-04,Hospitals and Health Care,79,1.59,11
2024-04,Retail,75,1.51,12
2024-04,Motor Vehicle Manufacturing,65,1.3,13
2024-04,Insurance,64,1.28,14
2024-04,Business Consulting and Services,63,1.26,15
2026-03,Software Development,6200,25.74,1
2026-03,IT Services and IT Consulting,2684,11.14,2
2026-03,Financial Services,2071,8.6,3
2026-03,"Technology, Information and Internet",1380,5.73,4
2026-03,Defense and Space Manufacturing,785,3.26,5
2026-03,Staffing and Recruiting,595,2.47,6
2026-03,"Information Services and Technology, Information and Internet",517,2.15,7
2026-03,Business Consulting and Services,404,1.68,8
2026-03,"Accounting, IT Services and IT Consulting, and Business Consulting and Services",340,1.41,9
2026-03,Hospitals and Health Care,307,1.27,10
2026-03,Semiconductor Manufacturing,280,1.16,11
2026-03,Insurance,275,1.14,12
2026-03,Entertainment Providers,241,1.0,13
2026-03,"Accounting, Financial Services, and Business Consulting and Services",236,0.98,14
2026-03,Aviation and Aerospace Component Manufacturing,235,0.98,15
