period,swe_classification_tier,n,pct
2024-01,embedding_high,395,1.7
2024-01,regex,20411,87.93
2024-01,title_lookup_llm,2407,10.37
2024-04,embedding_high,77,1.53
2024-04,regex,4477,89.2
2024-04,title_lookup_llm,465,9.26
2026-03,embedding_high,322,1.34
2026-03,regex,22697,94.2
2026-03,title_lookup_llm,1076,4.47
