period,seniority_native,n,pct_all
2024-04,associate,275,7.98
2024-04,director,25,0.73
2024-04,entry,769,22.33
2024-04,executive,11,0.32
2024-04,intern,20,0.58
2024-04,mid-senior,2344,68.06
2026-03,associate,795,4.0
2026-03,director,241,1.21
2026-03,entry,2789,14.02
2026-03,executive,37,0.19
2026-03,intern,429,2.16
2026-03,mid-senior,15605,78.43
