period,seniority_final_source,n,pct
2024-01,native_backfill,8701,37.48
2024-01,title_keyword,14512,62.52
2024-04,description_explicit,29,0.58
2024-04,native_backfill,1991,39.67
2024-04,title_keyword,1890,37.66
2024-04,title_prior,96,1.91
2024-04,unknown,953,18.99
2024-04,weak_title_associate,6,0.12
2024-04,weak_title_level,54,1.08
2026-03,description_explicit,83,0.34
2026-03,native_backfill,10929,45.36
2026-03,title_keyword,10902,45.25
2026-03,title_prior,76,0.32
2026-03,unknown,1626,6.75
2026-03,weak_title_associate,17,0.07
2026-03,weak_title_level,462,1.92
