period,seniority_3level,n,median_yoe,mean_yoe,med_desc_len
2024-01,junior,118,2.0,2.75,3016.0
2024-01,mid,1356,4.0,4.1,3714.0
2024-01,senior,15399,5.0,5.84,3701.0
2024-04,junior,638,3.0,3.75,4076.0
2024-04,mid,221,3.0,3.0,3072.0
2024-04,senior,2758,5.0,5.64,3291.0
2024-04,unknown,811,5.0,5.09,1778.0
2026-03,junior,2338,2.0,2.17,4520.0
2026-03,mid,543,3.0,3.57,3972.0
2026-03,senior,16158,5.0,5.25,5447.0
2026-03,unknown,1539,3.0,4.04,5594.0
