period,seniority_3level,n_total,n_yoe,pct_yoe,median_yoe,mean_yoe,sd_yoe,q25,q75
2024-01,junior,130,56.0,43.1,2.0,2.71,2.56,1.0,3.0
2024-01,mid,1450,847.0,58.4,4.0,4.1,2.26,2.5,5.0
2024-01,senior,21633,15852.0,73.3,5.0,5.67,2.95,4.0,7.0
2024-04,junior,830,476.0,57.3,3.0,4.04,2.37,2.0,5.0
2024-04,mid,228,129.0,56.6,3.0,2.99,1.69,2.0,4.0
2024-04,senior,3008,1989.0,66.1,5.0,5.65,2.71,4.0,7.0
2024-04,unknown,953,446.0,46.8,5.0,5.06,2.76,3.0,7.0
2026-03,junior,3255,1066.0,32.7,2.0,2.17,1.52,1.0,2.0
2026-03,mid,622,423.0,68.0,3.0,3.66,2.36,2.0,5.0
2026-03,senior,18592,13826.0,74.4,5.0,5.3,2.61,3.0,7.0
2026-03,unknown,1626,1210.0,74.4,3.0,4.05,2.33,2.0,5.0
