period,metro_area,n,pct,rn
2024-01,Washington DC Metro,2081,12.28,1
2024-01,San Francisco Bay Area,1831,10.81,2
2024-01,Los Angeles Metro,1051,6.2,3
2024-01,Boston Metro,1036,6.11,4
2024-01,Chicago Metro,851,5.02,5
2024-01,Dallas-Fort Worth Metro,758,4.47,6
2024-01,Seattle Metro,667,3.94,7
2024-01,Philadelphia Metro,638,3.77,8
2024-01,Denver Metro,592,3.49,9
2024-01,Atlanta Metro,520,3.07,10
2024-01,Salt Lake City Metro,445,2.63,11
2024-01,Detroit Metro,391,2.31,12
2024-01,Phoenix Metro,341,2.01,13
2024-01,Austin Metro,310,1.83,14
2024-01,San Diego Metro,280,1.65,15
2024-04,San Francisco Bay Area,403,13.15,1
2024-04,Washington DC Metro,298,9.72,2
2024-04,Dallas-Fort Worth Metro,272,8.87,3
2024-04,Seattle Metro,189,6.17,4
2024-04,Chicago Metro,176,5.74,5
2024-04,Atlanta Metro,148,4.83,6
2024-04,Boston Metro,140,4.57,7
2024-04,Los Angeles Metro,130,4.24,8
2024-04,Austin Metro,99,3.23,9
2024-04,Phoenix Metro,85,2.77,10
2024-04,Denver Metro,84,2.74,11
2024-04,Philadelphia Metro,83,2.71,12
2024-04,Charlotte Metro,81,2.64,13
2024-04,Houston Metro,70,2.28,14
2024-04,Detroit Metro,67,2.19,15
2026-03,San Francisco Bay Area,3000,16.08,1
2026-03,Washington DC Metro,1606,8.61,2
2026-03,Seattle Metro,1433,7.68,3
2026-03,New York City Metro,1234,6.61,4
2026-03,Dallas-Fort Worth Metro,1200,6.43,5
2026-03,Salt Lake City Metro,1056,5.66,6
2026-03,Boston Metro,969,5.19,7
2026-03,Los Angeles Metro,938,5.03,8
2026-03,Austin Metro,732,3.92,9
2026-03,Chicago Metro,708,3.79,10
2026-03,Atlanta Metro,694,3.72,11
2026-03,Charlotte Metro,599,3.21,12
2026-03,Philadelphia Metro,501,2.69,13
2026-03,Denver Metro,474,2.54,14
2026-03,Phoenix Metro,368,1.97,15
