period,variable,n,mean,median,skewness,kurtosis,cv,flag
2024-01,description_length,23213,4052.0,3825.0,0.496,0.344,0.513,ok
2024-01,core_length,23213,2696.0,2419.0,1.147,1.989,0.656,MODERATE_SKEW
2024-04,description_length,5019,3316.0,2954.0,0.782,0.438,0.649,ok
2024-04,core_length,5019,2738.0,2504.0,0.858,1.143,0.624,ok
2026-03,description_length,24095,5203.0,5158.0,0.425,0.767,0.458,ok
2026-03,core_length,24095,4314.0,4171.0,0.748,2.117,0.465,ok
2024-04,yoe_extracted,3040,5.2,5.0,1.028,1.595,0.525,MODERATE_SKEW
2026-03,yoe_extracted,16525,4.96,5.0,1.213,2.676,0.537,MODERATE_SKEW
