period,seniority_3level,is_aggregator,n,pct
2024-01,junior,False,118,90.77
2024-01,junior,True,12,9.23
2024-01,mid,False,1356,93.52
2024-01,mid,True,94,6.48
2024-01,senior,False,15399,71.18
2024-01,senior,True,6234,28.82
2024-04,junior,False,638,76.87
2024-04,junior,True,192,23.13
2024-04,mid,False,221,96.93
2024-04,mid,True,7,3.07
2024-04,senior,False,2758,91.69
2024-04,senior,True,250,8.31
2024-04,unknown,False,811,85.1
2024-04,unknown,True,142,14.9
2026-03,junior,False,2338,71.83
2026-03,junior,True,917,28.17
2026-03,mid,False,543,87.3
2026-03,mid,True,79,12.7
2026-03,senior,False,16158,86.91
2026-03,senior,True,2434,13.09
2026-03,unknown,False,1539,94.65
2026-03,unknown,True,87,5.35
