period,seniority_3level,n,pct
2024-01,junior,130,0.56
2024-01,mid,1450,6.25
2024-01,senior,21633,93.19
2024-04,junior,830,20.41
2024-04,mid,228,5.61
2024-04,senior,3008,73.98
2026-03,junior,3255,14.49
2026-03,mid,622,2.77
2026-03,senior,18592,82.75
