period,seniority_final_source,n,has_yoe,pct_yoe,median_yoe,mean_yoe,q25,q75
2024-01,title_keyword,130,56.0,43.1,2.0,2.71,1.0,3.0
2024-04,description_explicit,1,0.0,0.0,,,,
2024-04,native_backfill,729,457.0,62.7,3.0,4.11,2.0,5.0
2024-04,title_keyword,100,19.0,19.0,2.0,2.37,1.0,3.0
2026-03,description_explicit,2,1.0,50.0,1.0,1.0,1.0,1.0
2026-03,native_backfill,2592,950.0,36.7,2.0,2.2,1.0,2.0
2026-03,title_keyword,661,115.0,17.4,2.0,1.94,1.0,2.0
