period,is_aggregator,yoe_bin,n,pct
2024-01,False,1-2,28,23.73
2024-01,False,3-4,14,11.86
2024-01,False,5+,6,5.08
2024-01,False,missing,70,59.32
2024-01,True,1-2,5,41.67
2024-01,True,3-4,2,16.67
2024-01,True,5+,1,8.33
2024-01,True,missing,4,33.33
2024-04,False,1-2,133,20.85
2024-04,False,3-4,122,19.12
2024-04,False,5+,122,19.12
2024-04,False,missing,261,40.91
2024-04,True,1-2,14,7.29
2024-04,True,3-4,18,9.38
2024-04,True,5+,67,34.9
2024-04,True,missing,93,48.44
2026-03,False,1-2,682,29.17
2026-03,False,3-4,64,2.74
2026-03,False,5+,60,2.57
2026-03,False,missing,1532,65.53
2026-03,True,1-2,204,22.25
2026-03,True,3-4,39,4.25
2026-03,True,5+,17,1.85
2026-03,True,missing,657,71.65
