source,period,state_abbr,swe_postings
kaggle_arshkon,2024-04,CA,562
kaggle_arshkon,2024-04,TX,430
kaggle_arshkon,2024-04,NY,235
kaggle_arshkon,2024-04,VA,215
kaggle_arshkon,2024-04,WA,179
kaggle_arshkon,2024-04,IL,156
kaggle_arshkon,2024-04,GA,150
kaggle_arshkon,2024-04,NJ,148
kaggle_arshkon,2024-04,NC,140
kaggle_arshkon,2024-04,FL,135
kaggle_arshkon,2024-04,PA,126
kaggle_arshkon,2024-04,MA,115
kaggle_arshkon,2024-04,OH,104
kaggle_arshkon,2024-04,AZ,85
kaggle_arshkon,2024-04,MI,85
kaggle_arshkon,2024-04,CO,81
kaggle_arshkon,2024-04,MD,74
kaggle_arshkon,2024-04,MN,59
kaggle_arshkon,2024-04,WI,45
kaggle_arshkon,2024-04,IN,31
kaggle_arshkon,2024-04,DC,30
kaggle_arshkon,2024-04,CT,27
kaggle_arshkon,2024-04,MO,26
kaggle_arshkon,2024-04,TN,23
kaggle_arshkon,2024-04,NV,19
kaggle_arshkon,2024-04,AL,17
kaggle_arshkon,2024-04,KS,17
kaggle_arshkon,2024-04,NH,17
kaggle_arshkon,2024-04,UT,17
kaggle_arshkon,2024-04,DE,15
kaggle_arshkon,2024-04,IA,15
kaggle_arshkon,2024-04,KY,14
kaggle_arshkon,2024-04,AR,13
kaggle_arshkon,2024-04,ID,13
kaggle_arshkon,2024-04,OR,12
kaggle_arshkon,2024-04,ME,11
kaggle_arshkon,2024-04,NE,11
kaggle_arshkon,2024-04,NM,11
kaggle_arshkon,2024-04,OK,10
kaggle_arshkon,2024-04,RI,10
kaggle_arshkon,2024-04,SC,10
kaggle_arshkon,2024-04,MS,6
kaggle_arshkon,2024-04,WV,6
kaggle_arshkon,2024-04,LA,4
kaggle_arshkon,2024-04,MT,3
kaggle_arshkon,2024-04,ND,3
kaggle_arshkon,2024-04,AK,1
kaggle_asaniczka,2024-01,CA,2589
kaggle_asaniczka,2024-01,TX,1218
kaggle_asaniczka,2024-01,VA,1007
kaggle_asaniczka,2024-01,MD,958
kaggle_asaniczka,2024-01,FL,777
kaggle_asaniczka,2024-01,NY,770
kaggle_asaniczka,2024-01,MA,675
kaggle_asaniczka,2024-01,IL,631
kaggle_asaniczka,2024-01,WA,627
kaggle_asaniczka,2024-01,NJ,594
kaggle_asaniczka,2024-01,PA,563
kaggle_asaniczka,2024-01,GA,532
kaggle_asaniczka,2024-01,CO,497
kaggle_asaniczka,2024-01,NC,480
kaggle_asaniczka,2024-01,OH,472
kaggle_asaniczka,2024-01,MI,431
kaggle_asaniczka,2024-01,AZ,341
kaggle_asaniczka,2024-01,UT,252
kaggle_asaniczka,2024-01,CT,235
kaggle_asaniczka,2024-01,MO,235
kaggle_asaniczka,2024-01,MN,229
kaggle_asaniczka,2024-01,WI,209
kaggle_asaniczka,2024-01,DC,194
kaggle_asaniczka,2024-01,AL,191
kaggle_asaniczka,2024-01,IN,189
kaggle_asaniczka,2024-01,IA,175
kaggle_asaniczka,2024-01,TN,173
kaggle_asaniczka,2024-01,AR,129
kaggle_asaniczka,2024-01,SC,118
kaggle_asaniczka,2024-01,OR,114
kaggle_asaniczka,2024-01,DE,101
kaggle_asaniczka,2024-01,NH,101
kaggle_asaniczka,2024-01,OK,93
kaggle_asaniczka,2024-01,NV,87
kaggle_asaniczka,2024-01,KS,80
kaggle_asaniczka,2024-01,RI,73
kaggle_asaniczka,2024-01,NE,71
kaggle_asaniczka,2024-01,NM,62
kaggle_asaniczka,2024-01,KY,57
kaggle_asaniczka,2024-01,LA,56
kaggle_asaniczka,2024-01,ME,43
kaggle_asaniczka,2024-01,MS,37
kaggle_asaniczka,2024-01,HI,32
kaggle_asaniczka,2024-01,ID,32
kaggle_asaniczka,2024-01,WV,17
kaggle_asaniczka,2024-01,SD,14
kaggle_asaniczka,2024-01,MT,13
kaggle_asaniczka,2024-01,VT,12
kaggle_asaniczka,2024-01,AK,7
kaggle_asaniczka,2024-01,ND,5
kaggle_asaniczka,2024-01,WY,2
scraped,2026-03,CA,3970
scraped,2026-03,TX,1930
scraped,2026-03,NY,1275
scraped,2026-03,WA,1193
scraped,2026-03,VA,951
scraped,2026-03,NC,911
scraped,2026-03,MA,828
scraped,2026-03,NJ,709
