slice,n_total,n_seniority_known,n_yoe_known,sf_entry_of_all,sf_entry_of_known,yoe_le2_of_all,yoe_le2_of_known,yoe_le3_of_known
pooled_2024,22820,14013,15745,0.01660823838737949,0.027046314136872904,0.07738825591586328,0.11216259129882503,0.2562718323277231
scraped_2026,40881,19040,27581,0.031188082483305204,0.06696428571428571,0.11599520559673197,0.17192995177839818,0.33744244226097675
arshkon_only_2024,4691,2267,2911,0.03730547857599659,0.07719453021614468,0.09294393519505435,0.14977670903469598,0.3115767777396084
pooled_2024_noagg,19447,11547,13521,0.018100478222862138,0.03048410842643111,0.08268627551807477,0.11892611493232749,0.26677020930404555
scraped_2026_noagg,34081,16713,23713,0.03177723658343359,0.0647998563992102,0.12417476013027787,0.1784675072744908,0.35077805423185593
scraped_2026_excl_top3,40285,18666,27229,0.028199081543999006,0.060859316404157295,0.11234950974308056,0.16621983914209115,0.33119100958536857
pooled_2024_strict_swe,20396,12676,14093,0.017209256717003334,0.02769012306721363,0.07697587762306335,0.11140282409706946,0.2550911800184489
scraped_2026_strict_swe,38722,18386,26167,0.031739063064924335,0.06684433808332427,0.11582562884148546,0.1713990904574464,0.33653074483127604
arshkon_2024_primary,4691,2267,2911,0.03730547857599659,0.07719453021614468,0.09294393519505435,0.14977670903469598,0.3115767777396084
scraped_2026_primary,40881,19040,27581,0.031188082483305204,0.06696428571428571,0.11599520559673197,0.17192995177839818,0.33744244226097675
