period_bucket,seniority_final,n
2024,associate,39
2024,director,105
2024,entry,379
2024,mid-senior,13490
2024,unknown,8807
2026,associate,52
2026,director,295
2026,entry,1275
2026,mid-senior,17418
2026,unknown,21841
