period_bucket,company_name_canonical,n,entry_share,yoe_le2_share,mean_len
2026,Fearless,11,0.09090909090909091,0.0,11918.545454545454
2026,Thomson Reuters,26,0.038461538461538464,0.18181818181818182,11826.884615384615
2026,Transamerica,19,0.0,0.2777777777777778,11292.526315789473
2026,TRM Labs,11,0.0,0.0,11230.454545454546
2026,Medtronic,21,0.0,0.45,10731.42857142857
2026,Metropolitan Transportation Authority,12,0.08333333333333333,0.1,10033.666666666666
2026,Crowe LLP,10,0.0,0.0,9633.4
2026,WD,11,0.09090909090909091,,9517.09090909091
2026,PSC by Rocket Lab,11,0.0,0.0,9505.181818181818
2026,Rocket Lab,21,0.0,0.05555555555555555,9399.190476190477
2026,Venmo,17,0.0,0.11764705882352941,9376.529411764706
2026,S&P Global,29,0.0,0.21739130434782608,9318.310344827587
2026,Ernst & Young,23,0.0,0.23809523809523808,9292.08695652174
2026,Weights & Biases,24,0.0,0.0,9152.791666666666
2026,PayPal,137,0.014598540145985401,0.1386861313868613,9034.817518248175
2026,GEICO,66,0.0,0.1864406779661017,8999.242424242424
2026,American Express,18,0.0,0.25,8948.833333333334
2026,Gartner,11,0.0,0.2,8829.818181818182
2026,Quizlet,12,0.0,0.0,8818.0
2026,"Scribd, Inc.",13,0.0,0.0,8758.307692307691
2024,Prudential Financial,11,0.0,,8740.818181818182
2026,BLUE ORIGIN,86,0.023255813953488372,0.09859154929577464,8731.732558139534
2026,Walmart,233,0.0,0.7381974248927039,8725.02575107296
2026,Salesforce,16,0.0,0.0,8724.875
2026,BlackRock,30,0.0,0.12,8685.266666666666
2026,Collins Aerospace,51,0.0,0.3125,8603.254901960785
2026,Apex Systems,173,0.005780346820809248,0.17592592592592593,8548.381502890174
2026,Nationwide,13,0.0,0.15384615384615385,8501.692307692309
2026,Grow Therapy,12,0.0,0.0,8458.666666666666
2026,Klaviyo,39,0.0,0.17857142857142858,8404.820512820514
2026,Axon,44,0.0,0.027777777777777776,8399.113636363636
2026,Cloudflare,38,0.07894736842105263,0.16666666666666666,8395.894736842105
2026,The Aerospace Corporation,10,0.0,0.125,8393.1
2026,HCA Healthcare,15,0.0,0.07692307692307693,8385.466666666667
2026,Rivian and Volkswagen Group Technologies,24,0.0,0.2631578947368421,8358.875
2026,Anduril Industries,255,0.00784313725490196,0.12857142857142856,8356.219607843137
2026,Accenture,54,0.0,0.30952380952380953,8327.388888888889
2026,DoorDash,31,0.03225806451612903,0.10526315789473684,8313.741935483871
2026,Docusign,30,0.03333333333333333,0.2692307692307692,8297.1
2026,Early Warning®,34,0.0,0.3125,8232.20588235294
2026,RTX,12,0.0,0.4,8225.416666666666
2026,FanDuel,14,0.0,0.0,8219.142857142857
2026,CGI,85,0.07058823529411765,0.0967741935483871,8202.388235294118
2026,LinkedIn,81,0.0,0.3875,8128.395061728395
2026,SAP,19,0.15789473684210525,0.15384615384615385,8119.631578947368
2026,Headway,10,0.0,0.0,8051.0
2026,The Trade Desk,17,0.0,0.16666666666666666,8033.764705882353
2026,Workday,36,0.0,0.08823529411764706,8027.166666666667
2026,Marriott International,10,0.0,0.125,8018.7
