period_bucket,company_name_canonical,n,entry_share,yoe_le2_share,mean_len
2024,Five Cubes,24,0.0,1.0,1847.6666666666667
2026,VIZIO,24,0.0,0.8333333333333334,6789.708333333333
2026,WayUp,20,0.8,,5536.7
2026,AaraTechnologies Inc,19,0.2631578947368421,1.0,1257.3157894736842
2024,VolunteerMatch,18,0.05555555555555555,1.0,2353.6666666666665
2026,Latitude AI,18,0.0,0.9444444444444444,5761.722222222223
2026,SGS Consulting,18,0.0,0.8333333333333334,2534.6666666666665
2026,SynergisticIT,17,1.0,,4596.64705882353
2026,Guidehouse,14,0.0,1.0,6594.214285714285
2026,AARATECH,12,0.0,0.9166666666666666,1583.1666666666667
2026,Neuralink,11,0.45454545454545453,1.0,3834.909090909091
2026,Steampunk,11,0.0,0.8181818181818182,5072.636363636364
2026,Tech Consulting,10,0.6,1.0,2355.6
