column,source,distinct_count,top_5_values
source,kaggle_arshkon,1,kaggle_arshkon(118165)
source_platform,kaggle_arshkon,1,linkedin(118165)
title_normalized,kaggle_arshkon,67562,accountant(630); project manager(496); customer service representative(472); software engineer(454); sales manager(445)
company_name,kaggle_arshkon,24348,"Liberty Healthcare and Rehabilitation Services(1107); The Job Network(986); Lowe's Companies, Inc.(524); TEKsystems(514); Capital One(452)"
company_name_effective,kaggle_arshkon,24525,"Liberty Healthcare and Rehabilitation Services(1107); The Job Network(986); Lowe's Companies, Inc.(524); TEKsystems(511); Capital One(453)"
company_name_canonical,kaggle_arshkon,24408,"Liberty Healthcare and Rehabilitation Services(1107); The Job Network(986); Lowe's Companies, Inc.(524); TEKsystems(512); Capital One(453)"
company_industry,kaggle_arshkon,374,Hospitals and Health Care(15656); Retail(8424); IT Services and IT Consulting(7750); Staffing and Recruiting(7627); Financial Services(5578)
company_size_category,kaggle_arshkon,7,7.0(40905); 5.0(21279); 2.0(12699); 6.0(10757); 3.0(8884)
location,kaggle_arshkon,8496,"United States(7713); New York, NY(2683); Chicago, IL(1790); Houston, TX(1669); Dallas, TX(1333)"
location_normalized,kaggle_arshkon,8496,"United States(7713); New York, NY(2683); Chicago, IL(1790); Houston, TX(1669); Dallas, TX(1333)"
city_extracted,kaggle_arshkon,6429,New York(2743); Chicago(1792); Houston(1680); Dallas(1344); Atlanta(1336)
state_normalized,kaggle_arshkon,51,CA(11778); TX(10086); NY(6476); FL(5944); NC(4937)
country_extracted,kaggle_arshkon,30,US(112406); Texas Metropolitan Area(340); Ohio Metropolitan Area(131); Oregon Metropolitan Area(75); South Carolina Metropolitan Area(57)
metro_area,kaggle_arshkon,89,New York City Metro(5663); Los Angeles Metro(4188); San Francisco Bay Area(4186); Washington DC Metro(4170); Dallas-Fort Worth Metro(3831)
seniority_raw,kaggle_arshkon,6,Mid-Senior level(39580); Entry level(34378); Associate(9421); Director(3591); Internship(1359)
seniority_native,kaggle_arshkon,6,mid-senior(39580); entry(34378); associate(9421); director(3591); intern(1359)
seniority_imputed,kaggle_arshkon,5,unknown(89726); mid-senior(14138); associate(6157); director(5509); entry(2635)
seniority_final,kaggle_arshkon,5,unknown(84596); mid-senior(17150); associate(6529); director(5531); entry(4359)
seniority_final_source,kaggle_arshkon,8,unknown(84596); title_keyword(20542); weak_title_associate(5674); native_backfill(5028); description_explicit(737)
seniority_3level,kaggle_arshkon,4,unknown(84596); senior(22681); mid(6529); junior(4359)
is_swe,kaggle_arshkon,2,False(113727); True(4438)
is_swe_adjacent,kaggle_arshkon,2,False(116768); True(1397)
is_control,kaggle_arshkon,2,False(109316); True(8849)
swe_classification_tier,kaggle_arshkon,5,unresolved(104622); regex(11335); embedding_llm(1317); embedding_adjacent(792); embedding_high(99)
is_aggregator,kaggle_arshkon,2,False(113362); True(4803)
is_remote,kaggle_arshkon,1,False(118165)
is_remote_inferred,kaggle_arshkon,1,False(118165)
period,kaggle_arshkon,1,2024-04(118165)
date_flag,kaggle_arshkon,1,ok(118165)
is_english,kaggle_arshkon,1,True(118165)
work_type,kaggle_arshkon,7,Full-time(94051); Contract(11764); Part-time(9326); Temporary(1153); Internship(897)
ghost_job_risk,kaggle_arshkon,3,low(118004); medium(81); high(80)
description_quality_flag,kaggle_arshkon,2,ok(117966); too_short(199)
boilerplate_flag,kaggle_arshkon,4,under_removed(63445); ok(52325); over_removed(2196); empty_core(199)
dedup_method,kaggle_arshkon,1,stage4_title_company_deduplicated(118165)
query_tier,kaggle_arshkon,0,
search_metro_name,kaggle_arshkon,0,
skills_raw,kaggle_arshkon,1985,"Optometry, Contact Lenses, Glaucoma, Ocular Disease, Eye Exams, Cataract, Low Vision, Diabetes, Eyewear(19); This position requires the following skills: Advocacy, Community Outreach, CSR / Volunteer Coordination, Fundraising, Lobbying, Public Relations(19); This position requires the following skills: Accounting(14); This position requires the following skills: Community Outreach, CSR / Volunteer Coordination, Disaster Response, Interactive/Social Media/SEO, Marketing & Communications (Mar/Com)(8); This position requires the following skills: Customer Service, Multi-Tasking, Networking, Organization, People Skills, Verbal / Written Communication(8)"
asaniczka_skills,kaggle_arshkon,0,
source,kaggle_asaniczka,1,kaggle_asaniczka(1014752)
source_platform,kaggle_asaniczka,1,linkedin(1014752)
title_normalized,kaggle_asaniczka,447256,customer service representative(7425); sales associate-ft(4482); store manager(4280); accountant(4247); assistant manager(3898)
company_name,kaggle_asaniczka,67667,Health eCareers(30503); Jobs for Humanity(22413); TravelNurseSource(10894); Dollar General(9780); PracticeLink(8896)
company_name_effective,kaggle_asaniczka,68528,Health eCareers(30503); TravelNurseSource(10894); Dollar General(9780); PracticeLink(8896); Gotham Enterprises Ltd(7915)
company_name_canonical,kaggle_asaniczka,67814,Health eCareers(30503); TravelNurseSource(10894); Dollar General(9780); PracticeLink(8896); Gotham Enterprises Ltd(7915)
company_industry,kaggle_asaniczka,0,
company_size_category,kaggle_asaniczka,0,
location,kaggle_asaniczka,20105,"New York, NY(11822); Chicago, IL(9439); Houston, TX(9303); Los Angeles, CA(8644); Atlanta, GA(8165)"
location_normalized,kaggle_asaniczka,20105,"New York, NY(11822); Chicago, IL(9439); Houston, TX(9303); Los Angeles, CA(8644); Atlanta, GA(8165)"
city_extracted,kaggle_asaniczka,13846,New York(11822); Chicago(9439); Houston(9355); Los Angeles(8644); Atlanta(8196)
state_normalized,kaggle_asaniczka,51,CA(103881); TX(71772); FL(62108); NY(51912); PA(42327)
country_extracted,kaggle_asaniczka,65,US(997167); Canada(1014); Mexico(796); Texas Metropolitan Area(558); South Carolina Metropolitan Area(419)
metro_area,kaggle_asaniczka,86,Los Angeles Metro(37550); Washington DC Metro(37229); New York City Metro(36755); San Francisco Bay Area(31024); Boston Metro(29191)
seniority_raw,kaggle_asaniczka,2,Mid senior(900065); Associate(114687)
seniority_native,kaggle_asaniczka,2,mid-senior(900065); associate(114687)
seniority_imputed,kaggle_asaniczka,5,unknown(827589); mid-senior(135647); associate(35628); director(11371); entry(4517)
seniority_final,kaggle_asaniczka,5,unknown(743291); mid-senior(214314); associate(41277); director(11364); entry(4506)
seniority_final_source,kaggle_asaniczka,7,unknown(743291); title_keyword(131339); native_backfill(87579); weak_title_associate(27831); title_manager(12998)
seniority_3level,kaggle_asaniczka,4,unknown(743291); senior(225678); mid(41277); junior(4506)
is_swe,kaggle_asaniczka,2,False(993126); True(21626)
is_swe_adjacent,kaggle_asaniczka,2,False(1008261); True(6491)
is_control,kaggle_asaniczka,2,False(901693); True(113059)
swe_classification_tier,kaggle_asaniczka,5,unresolved(888460); regex(116068); embedding_llm(5785); embedding_adjacent(3970); embedding_high(469)
is_aggregator,kaggle_asaniczka,2,False(953619); True(61133)
is_remote,kaggle_asaniczka,2,False(1011161); True(3591)
is_remote_inferred,kaggle_asaniczka,1,False(1014752)
period,kaggle_asaniczka,1,2024-01(1014752)
date_flag,kaggle_asaniczka,1,ok(1014752)
is_english,kaggle_asaniczka,1,True(1014752)
work_type,kaggle_asaniczka,0,
ghost_job_risk,kaggle_asaniczka,3,low(1014580); medium(134); high(38)
description_quality_flag,kaggle_asaniczka,2,ok(1014554); too_short(198)
boilerplate_flag,kaggle_asaniczka,4,under_removed(564152); ok(391336); over_removed(59066); empty_core(198)
dedup_method,kaggle_asaniczka,1,stage4_title_company_deduplicated(1014752)
query_tier,kaggle_asaniczka,0,
search_metro_name,kaggle_asaniczka,849,North Carolina(8971); Baytown(8671); Garland(8559); Austin(7906); South Carolina(7635)
skills_raw,kaggle_asaniczka,1007277,"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, Restaurant leadership experience, Food Handlers Certification(139); Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, 1+ years of restaurant leadership experience, Food Handlers Certification(96); Communication, Collaboration, Holds Self Accountable, Solution Oriented, People Centric, Relevant, Initiative, Deliver, Evolve(89); VolunteerMatch, LinkedIn for Good(68); Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution(61)"
