company_name_canonical,n_posts_2024,n_posts_2026,entry_final_share_2024,entry_final_share_2026,entry_yoe_share_2024,entry_yoe_share_2026,ai_any_share_2024,ai_any_share_2026,scope_any_share_2024,scope_any_share_2026,clean_len_mean_2024,clean_len_mean_2026,tech_count_mean_2024,tech_count_mean_2026,requirement_breadth_mean_2024,requirement_breadth_mean_2026,stack_depth_mean_2024,stack_depth_mean_2026,ai_domain_share_2024,ai_domain_share_2026,domain_entropy_2024,domain_entropy_2026,llm_text_share_2024,llm_text_share_2026,remote_share_2024,remote_share_2026,delta_n_posts,delta_entry_final_share,delta_entry_yoe_share,delta_ai_any_share,delta_scope_any_share,delta_clean_len_mean,delta_tech_count_mean,delta_requirement_breadth_mean,delta_stack_depth_mean,delta_ai_domain_share,delta_domain_entropy,delta_llm_text_share,delta_remote_share,cluster_id,cluster_label,cluster_name
AMERICAN SYSTEMS,3.0,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,816.0,1154.8333333333333,3.0,2.3333333333333335,4.666666666666667,3.6666666666666665,2.6666666666666665,1.8333333333333333,0.0,0.0,0.9182958340544894,0.9206198357143047,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,0.0,338.83333333333326,-0.6666666666666665,-1.0000000000000004,-0.8333333333333333,0.0,0.002324001659815278,-1.0,0.0,4,,entry-heavy compact
AT&T,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3,0.375,0.4,1008.25,2148.0,7.125,8.05,8.625,10.9,2.375,2.9,0.0,0.1,0.8868595071429147,0.8515489561291621,1.0,0.1,0.0,0.0,12.0,0.0,0.0,0.3,0.025000000000000022,1139.75,0.9250000000000007,2.2750000000000004,0.5249999999999999,0.1,-0.03531055101375258,-0.9,0.0,1,,template inflation / text-heavy
AVEVA,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,745.2,1700.5,2.8,4.75,4.6,5.75,2.4,2.0,0.0,0.0,0.9602297178607612,0.0,1.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.04999999999999999,955.3,1.9500000000000002,1.1500000000000004,-0.3999999999999999,0.0,-0.9602297178607612,-0.5,0.0,1,,template inflation / text-heavy
Ace Technologies,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,649.6666666666666,937.5,1.6666666666666667,2.5,2.3333333333333335,4.0,1.0,2.5,0.0,0.0,0.9182958340544894,0.946394630357186,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.5,287.83333333333337,0.8333333333333333,1.6666666666666665,1.5,0.0,0.028098796302696516,-0.25,0.0,2,,stack expansion
Actalent,23.0,208.0,0.0,0.009615384615384616,0.043478260869565216,0.13942307692307693,0.0,0.02403846153846154,0.0,0.30288461538461536,594.2608695652174,1356.375,0.8695652173913043,2.1875,1.9565217391304348,3.5576923076923075,1.6521739130434783,1.9326923076923077,0.0,0.02403846153846154,0.7708446124200048,0.5740065690102096,1.0,0.1778846153846154,0.0,0.0,185.0,0.009615384615384616,0.09594481605351171,0.02403846153846154,0.30288461538461536,762.1141304347826,1.3179347826086958,1.6011705685618727,0.28051839464882944,0.02403846153846154,-0.19683804340979516,-0.8221153846153846,0.0,2,,stack expansion
Aditi Consulting,8.0,31.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0967741935483871,0.25,0.3870967741935484,419.625,1630.3548387096773,2.0,3.0,3.375,4.741935483870968,2.0,2.2580645161290325,0.0,0.0967741935483871,0.5435644431995964,0.7002606776288061,1.0,0.0967741935483871,0.0,0.0,23.0,0.0,0.0967741935483871,0.0967741935483871,0.13709677419354838,1210.7298387096773,1.0,1.366935483870968,0.2580645161290325,0.0967741935483871,0.15669623442920966,-0.9032258064516129,0.0,1,,template inflation / text-heavy
Adobe,9.0,120.0,0.2222222222222222,0.03333333333333333,0.0,0.03333333333333333,0.1111111111111111,0.375,0.3333333333333333,0.39166666666666666,542.7777777777778,1855.75,2.888888888888889,5.291666666666667,4.666666666666667,7.841666666666667,2.3333333333333335,3.091666666666667,0.4444444444444444,0.26666666666666666,0.886682880001534,0.769929662925167,1.0,0.18333333333333332,0.0,0.0,111.0,-0.18888888888888888,0.03333333333333333,0.2638888888888889,0.05833333333333335,1312.9722222222222,2.402777777777778,3.175,0.7583333333333333,-0.17777777777777776,-0.11675321707636699,-0.8166666666666667,0.0,1,,template inflation / text-heavy
Agility Partners,4.0,5.0,0.25,0.0,0.25,0.2,0.25,0.0,0.0,0.8,409.5,509.6,1.0,3.0,2.0,4.6,1.75,2.6,0.0,0.0,0.8112781244591328,1.0000000000000002,1.0,0.0,0.0,0.0,1.0,-0.25,-0.04999999999999999,-0.25,0.8,100.10000000000002,2.0,2.5999999999999996,0.8500000000000001,0.0,0.1887218755408674,-1.0,0.0,2,,stack expansion
Akamai Technologies,3.0,26.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.19230769230769232,0.0,0.38461538461538464,507.6666666666667,1537.0,0.6666666666666666,4.153846153846154,1.3333333333333333,6.076923076923077,1.0,2.730769230769231,0.0,0.19230769230769232,0.9182958340544894,0.8342996668766971,1.0,0.07692307692307693,0.0,0.0,23.0,0.0,0.15384615384615385,0.19230769230769232,0.38461538461538464,1029.3333333333333,3.4871794871794877,4.743589743589744,1.7307692307692308,0.19230769230769232,-0.08399616717779235,-0.9230769230769231,0.0,3,,AI-forward recomposition
Akkodis,25.0,62.0,0.08,0.0,0.04,0.06451612903225806,0.0,0.08064516129032258,0.12,0.3387096774193548,571.36,1313.532258064516,3.4,3.4838709677419355,4.52,5.17741935483871,1.8,2.3225806451612905,0.04,0.08064516129032258,0.9357312041789014,0.7946965376037632,1.0,0.0967741935483871,0.0,0.0,37.0,-0.08,0.024516129032258062,0.08064516129032258,0.21870967741935482,742.1722580645161,0.08387096774193559,0.6574193548387104,0.5225806451612904,0.04064516129032258,-0.1410346665751382,-0.9032258064516129,0.0,1,,template inflation / text-heavy
AllSTEM Connections,6.0,7.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8333333333333334,0.8571428571428571,1297.5,1436.0,5.0,2.5714285714285716,7.166666666666667,5.142857142857143,3.0,3.4285714285714284,0.0,0.0,1.0,0.8699155297736259,1.0,0.2857142857142857,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.023809523809523725,138.5,-2.4285714285714284,-2.0238095238095237,0.4285714285714284,0.0,-0.13008447022637415,-0.7142857142857143,0.0,4,,entry-heavy compact
