definition,cohort,share_2024,share_2026,delta,n_denom_2024,n_denom_2026
J1,all,0.018002195389681667,0.03641017719619569,0.01840798180651402,22775,45317
J1,returning,0.018679764828458734,0.034701327877402016,0.016021563048943283,13437,24927
J2,all,0.020373216245883643,0.039080256857250036,0.018707040611366393,22775,45317
J2,returning,0.020986827416834115,0.038271753520279214,0.0172849261034451,13437,24927
J3,all,0.0914587226558206,0.14192384574130953,0.050465123085488936,18194,20511
J3,returning,0.09129433440810686,0.15300261096605744,0.06170827655795058,10855,11490
J4,all,0.2125975596350445,0.2889668958120033,0.07636933617695879,18194,20511
J4,returning,0.20893597420543528,0.293733681462141,0.08479770725670574,10855,11490
S1,all,0.9085412773441794,0.8580761542586904,-0.050465123085489005,18194,20511
S1,returning,0.9087056655918931,0.8469973890339425,-0.061708276557950636,10855,11490
S2,all,0.003995609220636663,0.0071717015689476355,0.0031760923483109722,22775,45317
S2,returning,0.004688546550569324,0.008304248405343603,0.003615701854774279,13437,24927
S3,all,0.5954774972557629,0.4347816492706931,-0.1606958479850698,22775,45317
S3,returning,0.5996874302299621,0.44927187387170536,-0.1504155563582567,13437,24927
S4,all,0.7079806529625151,0.6318073228999074,-0.07617333006260774,18194,20511
S4,returning,0.7070474435743896,0.6241079199303743,-0.08293952364401536,10855,11490
