seniority,cohort,breadth_resid_2024,breadth_resid_2026,breadth_resid_delta,credstack_ge5_2024,credstack_ge5_2026,credstack_ge5_delta,n_2024,n_2026
J3,all,-1.4691298381555316,0.09419951727905362,1.5633293554345853,0.4284855769230769,0.5991068361387839,0.17062125921570698,1664,2911
J3,returning,-1.2670963764433727,-0.1739116813572334,1.0931846950861392,0.4530776992936428,0.6177474402730375,0.16466974097939474,991,1758
S4,all,-0.4163979382499634,2.1830776885923866,2.59947562684235,0.5258132132598401,0.6594644648506829,0.1336512515908428,12881,12959
S4,returning,-0.5112320284339706,2.041710047442415,2.552942075876386,0.532899022801303,0.670199414307628,0.137300391506325,7675,7171
J1,all,-1.6550357915700549,-0.4345829986008885,1.2204527929691664,0.24390243902439024,0.31636363636363635,0.07246119733924611,410,1650
J1,returning,-1.639979338407885,-0.3566637066151449,1.2833156317927399,0.2350597609561753,0.292485549132948,0.057425788176772685,251,865
J2,all,-1.6867905890847994,-0.3336061111262242,1.353184477958575,0.25646551724137934,0.3331451157538114,0.07667959851243206,464,1771
J2,returning,-1.7053448833918512,-0.2260322093464135,1.4793126740454376,0.24468085106382978,0.3228511530398323,0.07817030197600253,282,954
J4,all,-1.3330995371596897,0.49296830814612586,1.8260678453058155,0.44906928645294725,0.5910241268770036,0.14195484042405632,3868,5927
J4,returning,-1.472966546718075,0.19501313626935243,1.6679796829874274,0.4678130511463845,0.6029629629629629,0.13514991181657843,2268,3375
S1,all,-0.5015150002331112,1.9164508707134453,2.4179658709465564,0.5153660012099214,0.6451704545454545,0.12980445333553314,16530,17600
S1,returning,-0.6168282519850824,1.7741245848099771,2.3909528367950594,0.5237226277372263,0.656905055487053,0.1331824277498267,9864,9732
S3,all,-0.33400416708187414,1.3288488924327426,1.6628530595146167,0.4936587523964017,0.5555499162564077,0.06189116386000598,13562,19703
S3,returning,-0.47691705148588753,1.0948753087315124,1.5717923602174,0.5112931248448747,0.5679971426020181,0.0567040177571434,8058,11199
