panel,n_cos,ai_strict_within_co,note
T16 arshkon_min5,125,0.0834,V1-validated reference
T16 pooled_min5,356,0.0765,V1-validated reference
T37 returning cohort (all ≥1×≥1),2109,0.07914689342581474,within-firm symmetric weighted
