archetype,archetype_name,mentor_pct_2024,mentor_pct_2026,n_2024,n_2026,people_mgr_pct_2024,people_mgr_pct_2026,mentor_delta_pp,pmgr_delta_pp
19,T19_servicenow / itsm / servicenow platform,6.956521739130435,36.36363636363637,115.0,44.0,0.0,0.0,29.407114624505933,0.0
6,T06_android / mobile / ios,25.842696629213485,53.90070921985816,178.0,282.0,1.1235955056179776,0.0,28.058012590644672,-1.1235955056179776
11,T11_aws / services / years noninternship,30.263157894736842,50.8557457212714,304.0,409.0,0.3289473684210526,0.4889975550122249,20.592587826534555,0.16005018659117232
12,T12_flight / software / vehicle,16.611295681063122,35.774647887323944,301.0,355.0,0.33222591362126247,0.5633802816901409,19.16335220626082,0.2311543680688784
1,T01_ai / learning / machine learning,25.85551330798479,43.38863750628457,263.0,1989.0,0.38022813688212925,0.9552538964303671,17.533124198299777,0.5750257595482378
4,T04_frontend / web / react,30.35143769968051,47.61215629522431,626.0,691.0,0.1597444089456869,1.0130246020260492,17.2607185955438,0.8532801930803623
3,T03_data / analytics / data engineer,24.746743849493487,41.93849021435228,691.0,1073.0,1.1577424023154848,1.3979496738117427,17.19174636485879,0.24020727149625798
9,T09_net / aspnet / net core,17.02127659574468,34.13173652694611,517.0,167.0,0.19342359767891684,0.5988023952095809,17.110459931201433,0.4053787975306641
5,T05_spring / java / spring boot,12.6232741617357,28.618421052631575,507.0,304.0,0.19723865877712032,0.6578947368421052,15.995146890895874,0.4606560780649849
10,T10_embedded / firmware / embedded software,17.07920792079208,32.758620689655174,404.0,290.0,1.7326732673267329,0.0,15.679412768863095,-1.7326732673267329
13,T13_radar / clearance / missile,9.640831758034027,20.833333333333336,529.0,192.0,0.1890359168241966,0.0,11.192501575299309,-0.1890359168241966
22,T22_test / manufacturing / equipment,14.383561643835616,25.0,146.0,48.0,1.36986301369863,0.0,10.616438356164384,-1.36986301369863
16,T16_python / python developer / django,4.511278195488721,14.473684210526317,133.0,76.0,0.0,0.0,9.962406015037596,0.0
17,T17_typescript sql / javascript java / sql python,39.69465648854962,47.199999999999996,131.0,125.0,22.900763358778626,12.8,7.505343511450377,-10.100763358778625
18,T18_systems engineering / systems engineer / systems,13.971742543171114,20.689655172413794,637.0,58.0,0.6279434850863422,0.0,6.717912629242679,-0.6279434850863422
15,T15_site reliability / sre / reliability,20.2020202020202,26.804123711340207,99.0,194.0,1.0101010101010102,3.608247422680412,6.602103509320006,2.5981464125794016
0,T00_software / technical / development,36.986301369863014,42.12564543889845,1971.0,2324.0,2.6889903602232366,1.9793459552495698,5.139344069035438,-0.7096444049736668
8,T08_test / testing / automation,19.696969696969695,23.348017621145374,264.0,227.0,0.3787878787878788,0.4405286343612335,3.6510479241756784,0.06174075557335473
2,T02_cloud / infrastructure / devops,29.427792915531338,32.028112449799195,734.0,996.0,0.544959128065395,0.8032128514056224,2.6003195342678573,0.25825372334022734
7,T07_equipment / sales / customer,22.575757575757578,24.495677233429394,660.0,347.0,1.5151515151515151,4.322766570605188,1.9199196576718158,2.8076150554536725
