archetype,archetype_name,period,n_entry,n_senior,entry_requirement_breadth,senior_requirement_breadth,gap_requirement_breadth,entry_ai_mention,senior_ai_mention,gap_ai_mention,entry_scope_count,senior_scope_count,gap_scope_count,entry_mgmts_mentor,senior_mgmts_mentor,gap_mgmts_mentor
0,T00_software / technical / development,2024,405,1971,12.723456790123457,14.144089294774226,1.4206325046507686,0.1308641975308642,0.09183155758498224,-0.039032639945881964,1.1975308641975309,1.3353627600202942,0.13783189582276334,0.25679012345679014,0.3698630136986301,0.11307289024183997
0,T00_software / technical / development,2026,913,2324,15.6013143483023,18.78700516351119,3.18569081520889,0.5312157721796276,0.4858003442340792,-0.04541542794554837,2.0372398685651696,2.2491394148020656,0.211899546236896,0.16210295728368018,0.4212564543889845,0.25915349710530433
1,T01_ai / learning / machine learning,2024,48,263,14.041666666666666,15.783269961977187,1.7416032953105205,0.8333333333333334,0.9429657794676806,0.1096324461343472,1.6875,1.790874524714829,0.103374524714829,0.041666666666666664,0.2585551330798479,0.21688846641318124
1,T01_ai / learning / machine learning,2026,603,1989,18.86401326699834,20.64555052790347,1.7815372609051288,0.9618573797678275,0.9788838612368024,0.017026481468974897,2.5655058043117744,2.737556561085973,0.17205075677419845,0.22719734660033167,0.43388637506284566,0.206689028462514
2,T02_cloud / infrastructure / devops,2024,141,734,14.326241134751774,15.487738419618529,1.1614972848667549,0.15602836879432624,0.0653950953678474,-0.09063327342647884,0.900709219858156,1.0095367847411445,0.1088275648829885,0.1276595744680851,0.29427792915531337,0.16661835468722827
2,T02_cloud / infrastructure / devops,2026,235,996,19.85531914893617,19.80722891566265,-0.0480902332735198,0.4765957446808511,0.392570281124498,-0.0840254635563531,1.6978723404255318,1.8423694779116466,0.1444971374861148,0.14893617021276595,0.32028112449799195,0.171344954285226
3,T03_data / analytics / data engineer,2024,113,691,16.23008849557522,14.771345875542691,-1.4587426200325293,0.36283185840707965,0.22141823444283648,-0.14141362396424317,1.5221238938053097,1.2141823444283646,-0.30794154937694507,0.168141592920354,0.24746743849493488,0.07932584557458089
3,T03_data / analytics / data engineer,2026,248,1073,17.10483870967742,19.050326188257223,1.9454874785798033,0.5080645161290323,0.5834109972041006,0.07534648107506836,2.0080645161290325,2.3187325256290774,0.3106680095000449,0.31451612903225806,0.4193849021435228,0.10486877311126475
4,T04_frontend / web / react,2024,94,626,13.457446808510639,14.784345047923322,1.3268982394126834,0.05319148936170213,0.05910543130990415,0.005913941948202023,1.1808510638297873,1.1533546325878594,-0.02749643124192791,0.13829787234042554,0.3035143769968051,0.16521650465637958
4,T04_frontend / web / react,2026,177,691,17.694915254237287,18.739507959479017,1.0445927052417296,0.5141242937853108,0.4399421128798842,-0.07418218090542655,2.1412429378531073,2.308248914616498,0.16700597676339068,0.2598870056497175,0.4761215629522431,0.2162345573025256
