archetype,archetype_name,2024,2026,delta_pp
1,T01_ai / learning / machine learning,0.04501983564749221,0.17566025896982487,13.064042332233267
21,T21_expedia / travel / cash,0.00924482856333239,0.056015059038275056,4.6770230474942665
14,T14_dice / experts stage / leading career,0.001700198356474922,0.036563801266328216,3.4863602909853295
20,T20_salary / employees / depending,0.010555398129781807,0.03633563401973647,2.578023588995466
-1,noise_outliers,0.026990648909039388,0.04166904340881866,1.4678394499779275
2,T02_cloud / infrastructure / devops,0.07055823179370926,0.08253950145456619,1.1981269660856928
3,T03_data / analytics / data engineer,0.07091243978464154,0.08128458159831156,1.0372141813670022
12,T12_flight / software / vehicle,0.02103995466137716,0.025126918030916663,0.40869633695395025
15,T15_site reliability / sre / reliability,0.011086710116180221,0.013775597512977012,0.2688887396796791
6,T06_android / mobile / ios,0.024582034570699914,0.024014602703781873,-0.0567431866918041
19,T19_servicenow / itsm / servicenow platform,0.01037829413431567,0.005732702070617763,-0.4645592063697907
11,T11_aws / services / years noninternship,0.035775007084159816,0.03103074553647824,-0.4744261547681577
8,T08_test / testing / automation,0.023873618588835365,0.01853858878557983,-0.5335029803255537
22,T22_test / manufacturing / equipment,0.012043071691697365,0.005162283954138383,-0.6880787737558982
16,T16_python / python developer / django,0.016045621989232078,0.007586560949175746,-0.8459061040056332
0,T00_software / technical / development,0.1862071408330972,0.1719810621185329,-1.4226078714564299
5,T05_spring / java / spring boot,0.04356758288466988,0.027921966801665622,-1.5645616083004257
10,T10_embedded / firmware / embedded software,0.040131765372626804,0.0243568535736695,-1.5774911798957305
4,T04_frontend / web / react,0.08437234344006801,0.05920940049055958,-2.516294294950843
7,T07_equipment / sales / customer,0.05274156984981581,0.027208944156066398,-2.553262569374941
13,T13_radar / clearance / missile,0.04569283083026353,0.016256916319662314,-2.9435914510601213
9,T09_net / aspnet / net core,0.050899688296967976,0.014517141064400205,-3.638254723256777
18,T18_systems engineering / systems engineer / systems,0.0452677812411448,0.004791512178426787,-4.047626906271802
17,T17_typescript sql / javascript java / sql python,0.06131340323037688,0.01272032399749016,-4.8593079232886724
