period2,company_name_canonical,n
2024,NVIDIA,19
2024,Palo Alto Networks,19
2024,Tesla,12
2024,AMD,10
2024,ByteDance,10
2024,Rivian,9
2024,Amazon,8
2024,Anduril Industries,8
2024,"Conch Technologies, Inc",8
2024,Stripe,7
2024,Aurora,5
2024,RemoteWorker US,5
2024,Walmart,5
2024,Anyscale,4
2024,Forward,4
