archetype,share_2024,share_2026,rate_2024,rate_2026,within_contrib_pp,between_contrib_pp,interaction_contrib_pp,archetype_name
0,0.1956966831701597,0.20735187923386403,0.016929807875214,0.11393034825870647,1.8982684018762606,0.01973202301064647,0.11305603164548739,T00_software / technical / development
1,0.04731414957376317,0.21178776520752382,0.007867820613690008,0.11771391459652542,0.519727452079752,0.1294048903491429,1.8066784240602818,T01_ai / learning / machine learning
2,0.0741540408740647,0.0995151473470651,0.004518072289156626,0.0687629578438148,0.47640178693697305,0.011458331237801383,0.1629321382897411,T02_cloud / infrastructure / devops
3,0.07452630011540036,0.0980021319762044,0.012487512487512488,0.09333333333333334,0.6025139907431535,0.0293154743516534,0.18979228968251766,T03_data / analytics / data engineer
4,0.08867215128615567,0.07138681613424573,0.010075566750629723,0.12572254335260116,1.0254666205036516,-0.0174159548130075,-0.19989967498701636,T04_frontend / web / react
5,0.04578788668428694,0.03366459200165056,0.016260162601626018,0.1041879468845761,0.4026027423148144,-0.01971267428070956,-0.10659744396534872,T05_spring / java / spring boot
6,0.02583479134869523,0.02895361232419793,0.01440922190201729,0.10688836104513064,0.23891792638692871,0.004493978350868439,0.028842587895597443,T06_android / mobile / ios
7,0.05542940103488069,0.03280492417729789,0.014103425117528543,0.1540880503144654,0.7759263928758477,-0.031908261518417656,-0.31670789131855004,T07_equipment / sales / customer
8,0.0250902728660239,0.022351363433169423,0.017804154302670624,0.12153846153846154,0.2602722074113951,-0.004876396616358117,-0.028411887259873203,T08_test / testing / automation
9,0.053493652979935226,0.017502836903820363,0.010438413361169102,0.12180746561886051,0.5957537434177216,-0.03756870154082971,-0.40082630763777954,T09_net / aspnet / net core
10,0.04217697204333098,0.02936625287988721,0.00706090026478376,0.11592505854800937,0.4591560560432365,-0.009045521033323048,-0.13946281587310938,T10_embedded / firmware / embedded software
11,0.03759818337490228,0.0374127437158282,0.009900990099009901,0.08455882352941177,0.28069989116891597,-0.0001836036228456263,-0.0013844523178543366,T11_aws / services / years noninternship
12,0.02211219893533857,0.030294694130188097,0.013468013468013467,0.17593643586833144,0.3592534076826448,0.01102019554861889,0.13293970856053852,T12_flight / software / vehicle
13,0.04802144213230093,0.01960042639524088,0.0069767441860465115,0.1368421052631579,0.623632192195487,-0.019828615630507015,-0.3690905470871569,T13_radar / clearance / missile
15,0.011651714253806351,0.016608782366493588,0.003194888178913738,0.049689440993788817,0.05417412437574322,0.0015837278315294684,0.023047666517226985,T15_site reliability / sre / reliability
16,0.016863343632505676,0.00914686565111241,0.02207505518763797,0.11654135338345864,0.1593017648166875,-0.017034167729344962,-0.07289471100117807,T16_python / python developer / django
17,0.06443807467520381,0.015336473986451635,0.00462160600808781,0.13228699551569506,0.8226511902530176,-0.02269282527498656,-0.6268574977376543,T17_typescript sql / javascript java / sql python
18,0.04757473104269813,0.005776967779649944,0.006259780907668232,0.125,0.5649033987268733,-0.02616448404572657,-0.4963075567423758,T18_systems engineering / systems engineer / systems
19,0.010907195771135018,0.006911729307795468,0.013651877133105802,0.1044776119402985,0.0990654070599243,-0.005454561724695632,-0.036289117743031014,T19_servicenow / itsm / servicenow platform
22,0.01265681420541265,0.006223995048313332,0.01764705882352941,0.2430939226519337,0.28534390686690786,-0.011352033806645854,-0.14502589045433203,T22_test / manufacturing / equipment
