label,aggregate_2024_pct,aggregate_2026_pct,delta_pp,within_pp,between_pp,interaction_pp,n_2024,n_2026
combined_best_available__domain,0.782,1.21,0.429,0.562,-0.002,-0.132,26863,29081
combined_best_available__domain_noagg,0.968,1.138,0.17,0.189,0.052,-0.071,20358,25582
combined_augmented__domain,1.143,11.148,10.005,10.504,-0.016,-0.482,26863,29081
combined_augmented__domain_noagg,1.405,9.812,8.407,8.957,0.032,-0.583,20358,25582
yoe_proxy_leq2__domain,7.244,11.705,4.461,4.503,1.498,-1.54,26863,29081
yoe_proxy_leq2__domain_noagg,7.958,12.04,4.082,4.143,-0.158,0.097,20358,25582
