archetype,archetype_name,2024,2026,delta_pp
1,T01_ai / learning / machine learning,0.04731414957376317,0.21178776520752382,16.447361563376063
2,T02_cloud / infrastructure / devops,0.0741540408740647,0.0995151473470651,2.5361106473000397
3,T03_data / analytics / data engineer,0.07452630011540036,0.0980021319762044,2.347583186080404
0,T00_software / technical / development,0.1956966831701597,0.20735187923386403,1.1655196063704327
12,T12_flight / software / vehicle,0.02211219893533857,0.030294694130188097,0.8182495194849527
15,T15_site reliability / sre / reliability,0.011651714253806351,0.016608782366493588,0.4957068112687236
6,T06_android / mobile / ios,0.02583479134869523,0.02895361232419793,0.31188209755026974
11,T11_aws / services / years noninternship,0.03759818337490228,0.0374127437158282,-0.018543965907408255
8,T08_test / testing / automation,0.0250902728660239,0.022351363433169423,-0.27389094328544755
19,T19_servicenow / itsm / servicenow platform,0.010907195771135018,0.006911729307795468,-0.39954664633395504
22,T22_test / manufacturing / equipment,0.01265681420541265,0.006223995048313332,-0.6432819157099318
16,T16_python / python developer / django,0.016863343632505676,0.00914686565111241,-0.7716477981393266
5,T05_spring / java / spring boot,0.04578788668428694,0.03366459200165056,-1.2123294682636379
10,T10_embedded / firmware / embedded software,0.04217697204333098,0.02936625287988721,-1.2810719163443767
4,T04_frontend / web / react,0.08867215128615567,0.07138681613424573,-1.7285335151909942
7,T07_equipment / sales / customer,0.05542940103488069,0.03280492417729789,-2.2624476857582803
13,T13_radar / clearance / missile,0.04802144213230093,0.01960042639524088,-2.8421015737060054
9,T09_net / aspnet / net core,0.053493652979935226,0.017502836903820363,-3.599081607611486
18,T18_systems engineering / systems engineer / systems,0.04757473104269813,0.005776967779649944,-4.179776326304819
17,T17_typescript sql / javascript java / sql python,0.06443807467520381,0.015336473986451635,-4.910160068875218
