metro_area,arshkon,asaniczka,scraped,scraped_J1,scraped_J2,scraped_S1,arshkon_J1,arshkon_S1
San Francisco Bay Area,359.0,1371.0,5012.0,172.0,173.0,2328.0,18.0,172.0
Washington DC Metro,250.0,1858.0,3036.0,125.0,129.0,953.0,13.0,97.0
Seattle Metro,173.0,589.0,2201.0,56.0,60.0,930.0,6.0,65.0
Dallas-Fort Worth Metro,245.0,606.0,2058.0,30.0,37.0,803.0,8.0,106.0
New York City Metro,11.0,59.0,2043.0,34.0,35.0,995.0,2.0,6.0
Salt Lake City Metro,31.0,296.0,1724.0,36.0,38.0,817.0,1.0,15.0
Los Angeles Metro,121.0,887.0,1660.0,58.0,63.0,772.0,2.0,57.0
Boston Metro,132.0,727.0,1541.0,57.0,58.0,742.0,4.0,73.0
Austin Metro,95.0,263.0,1129.0,34.0,36.0,467.0,3.0,42.0
Atlanta Metro,139.0,442.0,1087.0,22.0,25.0,468.0,7.0,60.0
Charlotte Metro,75.0,230.0,1061.0,13.0,14.0,347.0,5.0,32.0
Chicago Metro,152.0,576.0,1032.0,37.0,38.0,428.0,2.0,62.0
Philadelphia Metro,80.0,417.0,831.0,26.0,27.0,300.0,1.0,27.0
Denver Metro,80.0,477.0,741.0,21.0,22.0,323.0,2.0,44.0
Phoenix Metro,75.0,278.0,706.0,17.0,17.0,253.0,6.0,25.0
Detroit Metro,67.0,293.0,622.0,14.0,14.0,203.0,0.0,30.0
Minneapolis-Saint Paul,54.0,206.0,558.0,23.0,25.0,202.0,3.0,27.0
Raleigh-Durham-Chapel Hill,51.0,192.0,558.0,23.0,25.0,199.0,0.0,27.0
Houston Metro,65.0,168.0,526.0,11.0,11.0,169.0,5.0,23.0
Columbus Metro,39.0,101.0,507.0,19.0,20.0,198.0,3.0,14.0
San Diego Metro,53.0,215.0,492.0,16.0,16.0,256.0,2.0,24.0
Pittsburgh Metro,40.0,166.0,455.0,8.0,9.0,207.0,1.0,15.0
Miami Metro,28.0,190.0,321.0,12.0,12.0,104.0,0.0,14.0
