state,bls_swe_2024,kaggle_arshkon,kaggle_asaniczka,scraped,pooled_2024
AL,18020.0,17,191,0,208
AK,430.0,1,7,0,8
AZ,35650.0,85,341,837,426
AR,6390.0,13,129,0,142
CA,292630.0,562,2589,8056,3151
CO,48980.0,81,497,989,578
CT,16490.0,27,235,100,262
DE,3850.0,15,101,236,116
DC,8250.0,30,194,438,224
FL,82610.0,135,777,753,912
GA,47350.0,150,532,1255,682
HI,1940.0,0,32,0,32
ID,4960.0,13,32,0,45
IL,54490.0,156,631,1225,787
IN,12690.0,31,189,9,220
IA,9840.0,15,175,0,190
KS,15850.0,17,80,20,97
KY,7070.0,14,57,0,71
LA,3870.0,4,56,0,60
ME,2740.0,11,43,0,54
MD,31940.0,74,958,1459,1032
MA,54260.0,115,675,1733,790
MI,41490.0,85,431,697,516
MN,39580.0,59,229,690,288
MS,3200.0,6,37,0,43
MO,17060.0,26,235,10,261
MT,2070.0,3,13,0,16
NE,8940.0,11,71,0,82
NV,4640.0,19,87,0,106
NH,8010.0,17,101,228,118
NJ,57120.0,148,594,1409,742
NM,4810.0,11,62,0,73
NY,104130.0,235,770,2681,1005
NC,57590.0,140,480,1853,620
ND,1510.0,3,5,0,8
OH,44280.0,104,472,553,576
OK,7150.0,10,93,0,103
OR,21100.0,12,114,176,126
PA,47350.0,126,563,1032,689
RI,6010.0,10,73,80,83
SC,12230.0,10,118,28,128
SD,2190.0,0,14,0,14
TN,18750.0,23,173,252,196
TX,151460.0,430,1218,4245,1648
UT,29160.0,17,252,0,269
VT,,0,12,0,12
VA,83290.0,215,1007,2067,1222
WA,91470.0,179,627,2502,806
WV,2280.0,6,17,4,23
WI,22170.0,45,209,7,254
WY,1020.0,0,2,0,2
