definition,side,source,n_denom,n_sat,share
J1,junior,kaggle_arshkon,4691,175,0.03730547857599659
J1,junior,kaggle_asaniczka,18129,204,0.01125268906172431
J1,junior,scraped,40881,1275,0.031188082483305204
J2,junior,kaggle_arshkon,4691,190,0.04050309102536773
J2,junior,kaggle_asaniczka,18129,228,0.012576534833691875
J2,junior,scraped,40881,1327,0.03246006702380079
J3,junior,kaggle_arshkon,2911,436,0.14977670903469598
J3,junior,kaggle_asaniczka,12834,1330,0.10363098020882032
J3,junior,scraped,27581,4742,0.17192995177839818
J4,junior,kaggle_arshkon,2911,907,0.3115767777396084
J4,junior,kaggle_asaniczka,12834,3128,0.24372759856630824
J4,junior,scraped,27581,9307,0.33744244226097675
S1,senior,kaggle_arshkon,4691,2077,0.44276273715625664
S1,senior,kaggle_asaniczka,18129,11518,0.6353356500634343
S1,senior,scraped,40881,17713,0.43328196472689023
S2,senior,kaggle_arshkon,4691,13,0.002771264122788318
S2,senior,kaggle_asaniczka,18129,92,0.0050747421258756685
S2,senior,scraped,40881,295,0.007216066143196106
S3,senior,kaggle_arshkon,4691,82,0.017480281389895543
S3,senior,kaggle_asaniczka,18129,364,0.02007832754150808
S3,senior,scraped,40881,150,0.0036691861745064944
S3_raw,senior,kaggle_arshkon,4691,1804,0.38456619057770197
S3_raw,senior,kaggle_asaniczka,18129,11137,0.6143195984334492
S3_raw,senior,scraped,40881,17289,0.42291039847361855
S4,senior,kaggle_arshkon,2911,1751,0.6015115080728272
S4,senior,kaggle_asaniczka,12834,8528,0.6644849618201651
S4,senior,scraped,27581,15938,0.5778615713715964
ALL,all,kaggle_arshkon,4691,4691,1.0
ALL,all,kaggle_asaniczka,18129,18129,1.0
ALL,all,scraped,40881,40881,1.0
