source,period,metros_ge_50,metros_ge_100,total_metros,total_swe_with_metro
kaggle_arshkon,2024-04,18,8,73,2774.0
kaggle_asaniczka,2024-01,40,27,86,12884.0
scraped,2026-03,26,25,26,14639.0
scraped,2026-04,26,24,26,15921.0
