source,n_states,pearson_r,pearson_p,spearman_r,spearman_p,log_pearson_r,log_pearson_p,verdict
kaggle_arshkon,50,0.9726,0.0,0.9396,0.0,0.9394,0.0,target_met
kaggle_asaniczka,50,0.9616,0.0,0.9539,0.0,0.9506,0.0,target_met
scraped,50,0.9747,0.0,0.8606,0.0,0.8214,0.0,target_met
pooled_2024,50,0.9723,0.0,0.9586,0.0,0.9555,0.0,target_met
