year,period,month,value_thousands,date
2023,M01,1,101,2023-01-01
2023,M02,2,144,2023-02-01
2023,M03,3,145,2023-03-01
2023,M04,4,146,2023-04-01
2023,M05,5,167,2023-05-01
2023,M06,6,156,2023-06-01
2023,M07,7,148,2023-07-01
2023,M08,8,155,2023-08-01
2023,M09,9,97,2023-09-01
2023,M10,10,101,2023-10-01
2023,M11,11,150,2023-11-01
2023,M12,12,141,2023-12-01
2024,M01,1,160,2024-01-01
2024,M02,2,129,2024-02-01
2024,M03,3,144,2024-03-01
2024,M04,4,87,2024-04-01
2024,M05,5,120,2024-05-01
2024,M06,6,108,2024-06-01
2024,M07,7,105,2024-07-01
2024,M08,8,105,2024-08-01
2024,M09,9,114,2024-09-01
2024,M10,10,178,2024-10-01
2024,M11,11,119,2024-11-01
2024,M12,12,105,2024-12-01
2025,M01,1,101,2025-01-01
2025,M02,2,125,2025-02-01
2025,M03,3,115,2025-03-01
2025,M04,4,134,2025-04-01
2025,M05,5,109,2025-05-01
2025,M06,6,123,2025-06-01
2025,M07,7,157,2025-07-01
2025,M08,8,141,2025-08-01
2025,M09,9,119,2025-09-01
2025,M10,10,117,2025-10-01
2025,M11,11,88,2025-11-01
2025,M12,12,112,2025-12-01
2026,M01,1,100,2026-01-01
2026,M02,2,91,2026-02-01
