analysis_type,comparison,seniority_def,n_group1,n_group2,MDE_binary,MDE_continuous,verdict
junior_share,arshkon_vs_scraped,J1,4691,40881,0.0075,,well_powered
junior_share,arshkon_vs_scraped,J2,4691,40881,0.0077,,well_powered
junior_share,arshkon_vs_scraped,J3,2911,27581,0.0206,,well_powered
junior_share,arshkon_vs_scraped,J4,2911,27581,0.0258,,well_powered
junior_share,pooled_2024_vs_scraped,J1,22820,40881,0.004,,well_powered
junior_share,pooled_2024_vs_scraped,J2,22820,40881,0.0041,,well_powered
junior_share,pooled_2024_vs_scraped,J3,15745,27581,0.0106,,well_powered
junior_share,pooled_2024_vs_scraped,J4,15745,27581,0.0132,,well_powered
senior_share,arshkon_vs_scraped,S1,4691,40881,0.0214,,well_powered
senior_share,arshkon_vs_scraped,S2,4691,40881,0.0037,,well_powered
senior_share,arshkon_vs_scraped,S3,4691,40881,0.0026,,well_powered
senior_share,arshkon_vs_scraped,S3_raw,4691,40881,0.0213,,well_powered
senior_share,arshkon_vs_scraped,S4,2911,27581,0.027,,well_powered
senior_share,pooled_2024_vs_scraped,S1,22820,40881,0.0115,,well_powered
senior_share,pooled_2024_vs_scraped,S2,22820,40881,0.002,,well_powered
senior_share,pooled_2024_vs_scraped,S3,22820,40881,0.0014,,well_powered
senior_share,pooled_2024_vs_scraped,S3_raw,22820,40881,0.0114,,well_powered
senior_share,pooled_2024_vs_scraped,S4,15745,27581,0.0138,,well_powered
ai_mention_rate,arshkon_vs_scraped,J1,175,1275,0.0903,0.2258,marginal
ai_mention_rate,arshkon_vs_scraped,J2,190,1327,0.0869,0.2173,marginal
ai_mention_rate,arshkon_vs_scraped,J3,436,4742,0.0561,0.1402,marginal
ai_mention_rate,arshkon_vs_scraped,J4,907,9307,0.039,0.0975,well_powered
ai_mention_rate,arshkon_vs_scraped,S1,2077,17713,0.026,0.065,well_powered
ai_mention_rate,arshkon_vs_scraped,S2,13,295,0.3176,0.794,underpowered
ai_mention_rate,arshkon_vs_scraped,S3,82,150,0.1539,0.3848,underpowered
ai_mention_rate,arshkon_vs_scraped,S3_raw,1804,17289,0.0277,0.0693,well_powered
ai_mention_rate,arshkon_vs_scraped,S4,1751,15938,0.0282,0.0705,well_powered
ai_mention_rate,arshkon_vs_scraped,N/A,4691,40881,0.0173,0.0432,well_powered
ai_mention_rate,pooled_2024_vs_scraped,J1,379,1275,0.0656,0.1639,marginal
ai_mention_rate,pooled_2024_vs_scraped,J2,418,1327,0.0629,0.1571,marginal
ai_mention_rate,pooled_2024_vs_scraped,J3,1766,4742,0.0312,0.0781,well_powered
ai_mention_rate,pooled_2024_vs_scraped,J4,4035,9307,0.0211,0.0528,well_powered
ai_mention_rate,pooled_2024_vs_scraped,S1,13595,17713,0.0128,0.0319,well_powered
ai_mention_rate,pooled_2024_vs_scraped,S2,105,295,0.1273,0.3184,underpowered
ai_mention_rate,pooled_2024_vs_scraped,S3,446,150,0.1058,0.2644,underpowered
ai_mention_rate,pooled_2024_vs_scraped,S3_raw,12941,17289,0.013,0.0326,well_powered
ai_mention_rate,pooled_2024_vs_scraped,S4,10279,15938,0.0142,0.0354,well_powered
ai_mention_rate,pooled_2024_vs_scraped,N/A,22820,40881,0.0093,0.0232,well_powered
mgmt_mention_rate,arshkon_vs_scraped,J1,175,1275,0.1035,0.2258,underpowered
mgmt_mention_rate,arshkon_vs_scraped,J2,190,1327,0.0996,0.2173,marginal
mgmt_mention_rate,arshkon_vs_scraped,J3,436,4742,0.0642,0.1402,marginal
mgmt_mention_rate,arshkon_vs_scraped,J4,907,9307,0.0447,0.0975,well_powered
mgmt_mention_rate,arshkon_vs_scraped,S1,2077,17713,0.0298,0.065,well_powered
mgmt_mention_rate,arshkon_vs_scraped,S2,13,295,0.3638,0.794,underpowered
mgmt_mention_rate,arshkon_vs_scraped,S3,82,150,0.1763,0.3848,underpowered
mgmt_mention_rate,arshkon_vs_scraped,S3_raw,1804,17289,0.0318,0.0693,well_powered
mgmt_mention_rate,arshkon_vs_scraped,S4,1751,15938,0.0323,0.0705,well_powered
mgmt_mention_rate,arshkon_vs_scraped,N/A,4691,40881,0.0198,0.0432,well_powered
mgmt_mention_rate,pooled_2024_vs_scraped,J1,379,1275,0.0751,0.1639,marginal
mgmt_mention_rate,pooled_2024_vs_scraped,J2,418,1327,0.072,0.1571,marginal
mgmt_mention_rate,pooled_2024_vs_scraped,J3,1766,4742,0.0358,0.0781,well_powered
mgmt_mention_rate,pooled_2024_vs_scraped,J4,4035,9307,0.0242,0.0528,well_powered
mgmt_mention_rate,pooled_2024_vs_scraped,S1,13595,17713,0.0146,0.0319,well_powered
mgmt_mention_rate,pooled_2024_vs_scraped,S2,105,295,0.1459,0.3184,underpowered
mgmt_mention_rate,pooled_2024_vs_scraped,S3,446,150,0.1212,0.2644,underpowered
mgmt_mention_rate,pooled_2024_vs_scraped,S3_raw,12941,17289,0.0149,0.0326,well_powered
mgmt_mention_rate,pooled_2024_vs_scraped,S4,10279,15938,0.0162,0.0354,well_powered
mgmt_mention_rate,pooled_2024_vs_scraped,N/A,22820,40881,0.0106,0.0232,well_powered
description_length,arshkon_vs_scraped,J1,175,1275,,0.2258,marginal
description_length,arshkon_vs_scraped,J2,190,1327,,0.2173,marginal
description_length,arshkon_vs_scraped,J3,436,4742,,0.1402,well_powered
description_length,arshkon_vs_scraped,J4,907,9307,,0.0975,well_powered
description_length,arshkon_vs_scraped,S1,2077,17713,,0.065,well_powered
description_length,arshkon_vs_scraped,S2,13,295,,0.794,underpowered
description_length,arshkon_vs_scraped,S3,82,150,,0.3848,marginal
description_length,arshkon_vs_scraped,S3_raw,1804,17289,,0.0693,well_powered
description_length,arshkon_vs_scraped,S4,1751,15938,,0.0705,well_powered
description_length,arshkon_vs_scraped,N/A,4691,40881,,0.0432,well_powered
description_length,pooled_2024_vs_scraped,J1,379,1275,,0.1639,well_powered
description_length,pooled_2024_vs_scraped,J2,418,1327,,0.1571,well_powered
description_length,pooled_2024_vs_scraped,J3,1766,4742,,0.0781,well_powered
description_length,pooled_2024_vs_scraped,J4,4035,9307,,0.0528,well_powered
description_length,pooled_2024_vs_scraped,S1,13595,17713,,0.0319,well_powered
description_length,pooled_2024_vs_scraped,S2,105,295,,0.3184,marginal
description_length,pooled_2024_vs_scraped,S3,446,150,,0.2644,marginal
description_length,pooled_2024_vs_scraped,S3_raw,12941,17289,,0.0326,well_powered
description_length,pooled_2024_vs_scraped,S4,10279,15938,,0.0354,well_powered
description_length,pooled_2024_vs_scraped,N/A,22820,40881,,0.0232,well_powered
yoe_mean,arshkon_vs_scraped,J1,175,1275,,0.2258,marginal
