term,coef,se,t,p,ci_low,ci_high,classifier,n,r2,subset
Intercept,0.3644783460514483,0.013038130670599224,27.95480082688089,5.763445582346451e-172,0.33892407951134673,0.39003261259154987,T13_full,67962,0.008640846550295955,full_corpus
C(seniority_final)[T.entry],0.026539560765009296,0.011023569367804839,2.407528803013666,0.016060895238096232,0.004933761823032838,0.04814535970698575,T13_full,67962,0.008640846550295955,full_corpus
C(seniority_final)[T.director],0.029761191583676322,0.020107284611296298,1.4801198749112272,0.13884125841398837,-0.009648362081360884,0.06917074524871353,T13_full,67962,0.008640846550295955,full_corpus
C(seniority_final)[T.unknown],0.019895502181547783,0.0033797598404001683,5.886661514740091,3.9407463200549275e-09,0.013271294617968611,0.026519709745126956,T13_full,67962,0.008640846550295955,full_corpus
C(archetype)[T.other],-0.028773879408953495,0.006644334190120003,-4.33058882735605,1.487111406099619e-05,-0.041796535122836806,-0.01575122369507018,T13_full,67962,0.008640846550295955,full_corpus
C(archetype)[T.noise/outlier],-0.009169874307303769,0.0068943059832153805,-1.3300648868252152,0.18349689334880814,-0.02268246573280492,0.004342717118197384,T13_full,67962,0.008640846550295955,full_corpus
period_2026,-0.019302199752996844,0.002456605007717575,-7.85726630547353,3.9260756772111464e-15,-0.024117057092364034,-0.014487342413629655,T13_full,67962,0.008640846550295955,full_corpus
period_2026:C(seniority_final)[T.entry],-0.024714737901478545,0.012021786322090555,-2.0558290789168443,0.03979899407254367,-0.04827700612261227,-0.0011524696803448184,T13_full,67962,0.008640846550295955,full_corpus
period_2026:C(seniority_final)[T.director],0.011243857169312003,0.023919720570887947,0.47006640968024527,0.6383075718663533,-0.03563793366989023,0.05812564800851424,T13_full,67962,0.008640846550295955,full_corpus
period_2026:C(seniority_final)[T.unknown],-0.008677801878578298,0.0038650851350777913,-2.24517742179142,0.02475674494307481,-0.0162532295405119,-0.0011023742166446967,T13_full,67962,0.008640846550295955,full_corpus
